epoch,mae,set
0,2.3055810928344727,train
0,2.381647825241089,train
0,2.233509063720703,train
0,2.5846118927001953,train
0,1.651084303855896,train
1,2.151884078979492,train
1,2.295459508895874,train
1,2.341205596923828,train
1,2.7368791103363037,train
1,1.3250290155410767,train
2,2.32784366607666,train
2,2.3822171688079834,train
2,2.328582525253296,train
2,2.2829713821411133,train
2,3.388942003250122,train
3,2.0736160278320312,train
3,2.2710936069488525,train
3,2.777750015258789,train
3,2.348764657974243,train
3,1.6822587251663208,train
4,2.4843130111694336,train
4,2.3395330905914307,train
4,2.2782928943634033,train
4,2.350996732711792,train
4,1.7657381296157837,train
5,2.141408681869507,train
5,2.0062742233276367,train
5,2.502089023590088,train
5,2.714071273803711,train
5,2.6080405712127686,train
6,2.292541265487671,train
6,2.509428024291992,train
6,2.356083393096924,train
6,2.2473206520080566,train
6,2.0535247325897217,train
7,2.293707847595215,train
7,2.1953563690185547,train
7,2.6324522495269775,train
7,2.27321195602417,train
7,2.0540475845336914,train
8,2.424436569213867,train
8,2.5937678813934326,train
8,2.036710739135742,train
8,2.261788845062256,train
8,2.7738277912139893,train
9,2.12838077545166,train
9,2.300915241241455,train
9,2.3619778156280518,train
9,2.4698421955108643,train
9,3.2526967525482178,train
10,2.515650749206543,train
10,2.2070443630218506,train
10,2.526904821395874,train
10,1.9877750873565674,train
10,3.389895439147949,train
11,2.068682909011841,train
11,2.1716766357421875,train
11,2.3905627727508545,train
11,2.712653875350952,train
11,2.1408491134643555,train
12,2.112779140472412,train
12,2.548696517944336,train
12,2.3913965225219727,train
12,2.1816859245300293,train
12,3.186206102371216,train
13,2.6607167720794678,train
13,2.518557071685791,train
13,2.168137550354004,train
13,1.9921993017196655,train
13,1.9470239877700806,train
14,2.2632999420166016,train
14,2.4317681789398193,train
14,2.1553702354431152,train
14,2.52105450630188,train
14,1.485653281211853,train
15,2.128976821899414,train
15,2.3589344024658203,train
15,2.4311633110046387,train
15,2.483945846557617,train
15,1.0263440608978271,train
16,2.658534049987793,train
16,2.228938341140747,train
16,2.1574416160583496,train
16,2.2008981704711914,train
16,2.577385187149048,train
17,2.300828456878662,train
17,2.699772834777832,train
17,2.248818874359131,train
17,2.0980472564697266,train
17,1.3661718368530273,train
18,2.2732646465301514,train
18,2.0738255977630615,train
18,2.6185200214385986,train
18,2.2711126804351807,train
18,2.4201154708862305,train
19,2.362639904022217,train
19,2.181173801422119,train
19,2.442915916442871,train
19,2.2115657329559326,train
19,2.7047507762908936,train
20,2.3323967456817627,train
20,2.4892232418060303,train
20,2.1954903602600098,train
20,2.1981563568115234,train
20,2.3948285579681396,train
21,2.320613384246826,train
21,2.3117856979370117,train
21,2.26643967628479,train
21,2.247323751449585,train
21,3.0016162395477295,train
22,1.81900954246521,train
22,2.4155972003936768,train
22,2.51524019241333,train
22,2.457400321960449,train
22,2.2166690826416016,train
23,2.3722586631774902,train
23,2.3078041076660156,train
23,2.440840244293213,train
23,1.9997369050979614,train
23,3.006334066390991,train
24,1.9466958045959473,train
24,2.561605453491211,train
24,2.4934003353118896,train
24,2.2688052654266357,train
24,1.2713743448257446,train
25,2.31419038772583,train
25,2.3679022789001465,train
25,2.200504779815674,train
25,2.368473529815674,train
25,1.3393701314926147,train
26,2.4493401050567627,train
26,2.209043502807617,train
26,2.2895727157592773,train
26,2.2783455848693848,train
26,1.4620929956436157,train
27,2.712684154510498,train
27,2.220766305923462,train
27,2.3855233192443848,train
27,1.935361623764038,train
27,1.0192056894302368,train
28,2.312009334564209,train
28,2.090503215789795,train
28,2.2504866123199463,train
28,2.409062385559082,train
28,2.924548864364624,train
29,2.1926980018615723,train
29,2.3837339878082275,train
29,2.1760940551757812,train
29,2.3537278175354004,train
29,2.3031489849090576,train
30,2.226858615875244,train
30,2.358013868331909,train
30,2.2907958030700684,train
30,2.1928250789642334,train
30,2.5533816814422607,train
31,2.277523994445801,train
31,2.4210023880004883,train
