pretty_comp,ehull
Li3(CuO2)2,0.014375777777777987
PrCuPb,0.0
Sr2B4Rh5,0.0
SmSe2,0.0
HfSb,0.0
TaBe2Rh,0.044890500000000166
NaLi3,0.03901568750000002
Nd(SiOs)2,0.0
MgBeBr2,0.04902715499999996
LiMnTe2,0.0
LiCo2OF3,0.1024677685714317
Li3Al(BO3)2,1.3333333330756147e-05
TiBeHg,0.441766977777778
Ho(MnGe)2,0.0
LaC,0.6588855000000002
LiTaRh2,0.0
TbGeAu,0.0
Ba2TiOF6,0.0
Rb3Ir,0.575573863125
LiVPO5,0.0
Be2CrNi,0.10650125
U3TiGe5,0.0
BeSbPb2,0.5398707599999998
Ba2Ho(CuO2)3,0.0
Ti2CoS4,0.0
Li3Nb3TeO2,0.0
TlPS3,0.0
Ca2ZnSn,0.0
Ba2MoPb,0.5434883149999998
Li3YBi2,0.0
K2Sr2O3,0.0
Na4BeSi,0.6472823666666665
BCl3,0.0
CaTa4O,0.0
LaSe,0.0
Sc3RuC4,0.0
Dy5Ge3B,0.0
Ba2Ca(BO3)2,0.0
Ca(AlS2)2,0.0
Tm2PdPt,0.0
Pu3Sc,0.17617831250000116
UAl2Pd5,0.0
ThCo9Si2,0.01465319166666834
NdCuSn,0.0
CoAgO3,0.14574349999999825
Mg(BiO3)2,0.13237238888888214
CaCeAg2,0.0
V4SiSb2,0.0
AlCu3,0.012312425000000016
Sr3P4,0.0
Sr2Fe2Se2OF2,0.0
LiBeCu2,0.0
ErInAu2,0.0
LuBrO,0.0
LiMgAs,0.0
TbMg3,0.0
Mo3W(SeS3)2,0.07831516666666705
ZrBeGe4,0.4888551458333332
BaVO3,0.004029800000041385
K5V3,0.0
Mn5O3F5,0.06688259877146496
Ba2Cu3P4,0.0
NdVO4,0.0
Mn2AlB2,0.0
HfScOs2,0.0
SrBeSn4,0.17146913499999994
Ce2CoSi3,0.0
K5CuSb2,0.0
Rb3Pm,0.5775589468750001
Mn2BePd,0.16518224712643634
Co3W,0.0966123750000003
UZnNi4,0.0
Au7I,0.016300555555555096
PmBi3,0.0
BeMoSe,0.2718883333333335
Th(SiRu)2,0.0
Sr3(AlGe2)2,0.0
SnPO3F,0.0
VCo2Si,0.0
Er3(In2Co)2,0.0
V2CrSe4,0.0
Pr3TaO7,0.0
MgHg,0.0
Ca(TiS2)4,0.047168769230765406
BeZn2Mo,0.272406175
ZrSe2,0.0
Li3Mn2Cr2O8,0.0
CaSn(BO3)2,0.0
Lu2ZnS4,0.0
NdP5,0.0
Si3Os2,0.0
BeCdRu2,0.10423496875000016
Ba5Al2In2IrClO3,0.0
Be2NiMo,0.1838242499999998
Be2ZnMo,0.1932114000000001
FeNi3(P2O3)2,0.0
Na2Te2O7,0.0
BaZnIr2,0.4842592924999998
Zr6Al6Os7,0.0
Nd3Se4,0.0
Rb2AgSbS4,0.0
BaSrTi2,0.9263918866666668
MgMnAs,0.3405508804597699
BaMgCl2,0.00016740000000003974
NdAgAs2,0.0060762500000000035
NaReO4,0.0
ZrBe5,0.0
Nb(SeBr)2,5.209999999999937e-05
AsO2,0.0
NdTh3,0.05313482500000033
LiGaAg2,0.0
Li2GeAu,0.0
SmI2,0.021153533333333474
K2AgAu,0.0
LiV2FeO6,0.0
Bi2SeO5,0.0
Al2NiRu,0.0
MoF3,0.03242324374999938
YCd3,0.020105837499999942
Ca(SiAu)2,0.0
YbAlB4,0.002435083333328869
TiAsW2,0.0003036937499993897
LiHfPd2,0.0
CoN3,0.5247191249999998
LiTi2O4,0.021896285714286808
CuCl,0.124434255
Pr2TeO2,0.0
Rb2WCl6,0.0
BeCr2W,0.063251375000001
NbPt,0.0
BaMgMn4O8,0.0
In2Se3,0.0
BeNiBr,0.2508575683333335
CeIr5,0.03860330000000012
Li2Mn3SnO8,0.07584671428571442
Ce(AlAu)2,0.0
NdFe3(B2O)2,0.0
NbCr2,0.0
Y2ZnGa,0.0
BeInFe2,0.2441714674999997
BeGaSb2,0.2993363812500001
LiHfAs,0.0
CePaO4,0.0
Ag2Se,0.047697566666666635
Li(MoO2)2,0.0
TiFeCoSi,0.0
Pm2IrAu,0.0
BeInSe2,0.0
HfNiSn,0.7977616666666663
TmCd3,0.0
MnBeCo,0.16035985689655166
CdHgO2,0.0
Ho2V2O7,0.0
ZnGaRh2,0.0
CeReB4,0.0
Ca3(GaN2)2,0.0
BaSnSe,0.2556903777777777
MgCr4O9,0.011075321428572591
