pretty_comp,encut
ScCrC2,900
CaSmRh2,650
CeFeO3,850
Li2GaHg,750
HfFeO3,1250
Be2BiPt,1000
BaNiPt2,600
ScAlCu2,650
Ca2GeO4,1150
K2CO3,1250
TaTe4Ir,500
Li2Ti3CoO8,1250
Li2SnGe,750
YZr,550
Y2MgRu,700
TaBe2Rh,1050
Sr2BePd,950
TiBiRh,500
TbCeO4,900
CuSiBr,650
Te4MoW3S4,650
YI3,500
RbNaTiO3,1200
ErCdPd2,500
NdTlAu2,550
HgPd2Au,850
BeCrRh2,1050
BaP2Pb,500
SmTmHg2,550
BaSrNi2,600
SrZn2,700
SmCuSeF,600
Be2SbW,1000
NbCo2Sn,550
TaFeSb,500
PaAgAu2,550
BeNbTc,1000
HfAlPd2,500
CaBeHg2,1000
BeGaOs,650
BaAlFeCuO5,1150
NbPt,500
V2Bi4O,1200
Ca5Au3,650
BaBiSe4,550
Hg2SeO4,1200
Ba4ZnMo,650
Ni3Au,650
Na3Mn4O8,1200
SmDyZn2,650
BeSeBr4,950
Li6VCoP2(CO2)2,1350
HoZnRh,1100
LiZnAg2,800
CeMnSi2,1350
BaZn(FeO2)4,1200
Ca4Al6O3,1250
TaBe2Se,1000
AcAgTe2,500
ErTlO2,800
HfRh3,650
Er2Au,650
KH4O2F,1200
Be2TcCl,1050
TmBrO,800
Tm(SiPd)2,500
BiTeI,500
Ba2YCo3O7,1250
NaTm3,500
GaGeTe,700
Nd2CuRu,650
RbSmO3,800
BaTi2O5,1300
FeF2,700
Sr2Sb2O7,1250
ScNi,600
Be2RuW,1000
NpPt,700
NbInPt,500
MnBe2Ir,1050
Mo2RuSe4,600
Ba4NiGe,550
SmGaSb2,500
ScInAu2,550
ZnNi,600
UCdO4,850
MgGa,650
BaCuWO5,1100
Li2Fe2(CO3)3,1300
Be(CoO2)2,1300
Be2PBr,1000
LiZnPS4,750
U2F9,1250
K2CuAs,850
LiZnO2,800
K2ZnTe2,700
LaBRh3,1550
MnGa2Co,700
ScCdRh2,650
KBeMo2,950
TaAlRu2,600
ZnH4(CO3)2,1300
TmPb3,500
ZrBe2As,1000
Pr2ZnAg,500
HfTc2Sn,1050
ThB4Mo,700
Li2TiTeO6,1300
UAl3Pd2,500
Cr4OF,1250
Li2MgTl,1100
Li3C,650
LiBIr,1200
ZrO2,1200
Mo3Pt2N,900
NiSeO4,1200
Zn(HO)2,800
KTaBe2,1050
Ba2MgSn,500
Li8SiO6,1750
FeCo3O8,1200
SrSn2,800
HfNCl,850
BeNiMo,950
CuSb(MoO4)2,1250
Be2TeW,1000
RbAgSe4,650
Si3As4,500
USi2,500
PH6(NO)2,1350
SbKr3F,1300
SmCdAu2,550
NaMgBO3,1250
PrMgHg2,600
Sr5P3O2F,1900
SmClF,850
Lu3AlN,850
K2Sn(AsS3)2,600
AsRuAu,550
Li4Ti3Fe3(SbO3)2,1300
LiSbO2,1200
Be2InCu,1050
MoCl2,900
Cd(PtO2)3,1100
NaLi3,1250
Lu2MgS4,750
Pr3Si2S8Cl,800
BeCrPd2,1000
Sc2S3,650
TiCdO3,1100
NCl,800
Sr2Sb,500
Nd5Sn3,600
CaCuO2,1150
BaSbMo,500
Ta2I5,500
Te4Mo2WSe2,500
BeCuHg,650
Cr2HO4,850
SnHgF6,750
Rb(WCl3)3,850
FeO,750
Yb2S3,600
Ta2FeAs,500
DyCrB4,950
K2Na4Be2O5,1250
Sr2YTlCr2O7,1150
CrSn(PO4)2,1300
Rb2V3O8,1250
Ba3Hf2O7,1250
Li3Co2(GeO4)2,1250
Nd2Ta2Cl2O7,1200
K2ScSi4F,1300
Ca2BeIn,650
CaMg2,1050
VSnPO5,1250
NaMgBe2,1000
LiGaHg2,800
PaFe3,800
MgSnF6,650
Ba4ScZn,650
K3Sn5Cl3,1250
Th(FeSi)2,750
Ti2Cd,500
Ba4AgAuO6,1300
FePH6NO5,1250
Hf2Tl,500
TmInAg2,500
HfSi2,500
Ba6HfO8,1250
Nb2O5,1150
Y(FeGe)2,750
HoGa3,600
LaBeCr4,1950
RbInBr3,650
Rb2Ti(CuS2)2,900
Co3NiO8,1150
Na2NiO2,850
Li4Co(OF)2,1250
KSc2F7,750
Sc6Al6Os7,750
PAuS4,650
Al5C3N,1050
I2O5,1300
Li3Cu,1150
V2MoO8,1200
Li2CrS3,1200
HoMgAu2,650
LiNdTiO4,1250
NaNi3,650
RbTeO3,1100
LiOs2W,800
FeSb,700
RbSeBr3,650
BePPt,950
LiCuO,600
Sc6Te2Os,500
PIr2,500
Nb4AlC3,900
Li3Al2VO6,1250
RbZrMnF7,1250
HfMg2Be,750
Ba(PIr)2,600
Mo2SeS3,650
Zr(MoO4)2,1200
SrAl4O7,1300
Li5FeS4,1200
KNa2BN2,900
ScF3,700
ZrSnPd,500
PrHoZn2,600
KCaNb2O6F,1250
VBO4,1100
ScPd3C,750
Lu2NiIr,600
Li7(SbS)2,1350
Li2NbCr3O8,1250
SmCoSi,550
KAu(I2O)2,1250
Nb4CoSi,600
YInCu2,650
NiSe2,700
ErFeC2,900
Fe3O4,1150
Sc2BeBr,700
Rb2NaErF6,1150
Ba4YBi,550
NbIr3,500
KNaICl,650
K5V3,1300
LiSiAg2,750
KBaW,500
Cr(CoO3)2,1250
Ca(As2Rh3)2,650
VCoTe,500
Lu4B6O5,1300
SiP2O7,1350
MnBe2Rh,1050
CdAs2,500
SiAs2,850
Cd3PCl3,800
Hf2FeIr,500
Li2GaRh,700
TaMnP,700
Ho5Pb3,500
Nb2P,800
YN,800
BeNb2Si,900
