pretty_comp,formation_energy_peratom
YBe2Se,0.01023
Lu(MnGe)6,-0.25477
LiFe5O8,-1.5289700000000002
Pa3Ta,0.18161
TaNiTe5,-0.26628
Cu2SO4,-0.94091
AlCrNi2,-0.25024
Li3CoO2F,-1.89819
Pd(Se4Cl)2,-0.15070999999999998
Li3V4O8,-2.43898
BeSi2Sb,0.80769
Cd2PbO4,-1.12024
BaLaMn2O6,-2.6869400000000003
SmGeAu,-0.8570200000000001
TmInCu2,-0.34763
Na2Mg5(P2O3)2,-2.72248
Ba4BiRu,0.6633100000000001
Tb4Sb3,-1.02661
RbUAgS3,-1.17095
BaCa2Sn,-0.36125999999999997
Fe(SiP)4,-0.28757
KLiS,-1.40079
Y2Be2FeSi2,-3.02367
CaV4O8,-2.61321
Nb6Co6Si7,-0.49939
PrGe3Rh,-0.6876399999999999
HfBePb2,0.41983
SrGa2,-0.55752
BaSn2Pb,-0.36556
CeZnSbO,-1.74752
BaGaRe2,1.37594
Nb6Co7,-0.18309
Th2Cu,0.50679
NdO2,-2.8328900000000004
YbTmPt2,-1.32659
Mn4BeRe,0.09307
GaFeIr2,-0.19344
AuSCl5,-0.24043
KBa4Ir,0.80847
PI2,-0.05037
Tb(CrSi)2,-0.37921
Be2CrGe,-0.03434
Nd(CrSi)2,-0.35459
BeNbRh2,-0.26406
Re3Si,0.21248000000000009
Be2InPd,-0.04703
KTiS2,-1.49915
Al2O3,-3.2967800000000005
Ca2ZnRh,-0.39693
Be2CrIn,0.43077
LiYbAlF6,-3.88989
SrCrF6,-3.20575
Ac2ZnSi,-0.36079
Li2MnV3O8,-2.37753
GaAsO4,-1.5268700000000002
NdS3,-1.00062
PmRh3,-0.40553
LiVP2O7,-2.29973
Rb2AuBr,-0.49116000000000004
H6CNF,-0.5824600000000001
Sr3SbP,-0.35345
RbNdSe2,-1.8312700000000002
CeZnGa,-0.45249
Li4Mn3Cr3O2,-2.05306
Sr2Cu(IO)2,-1.9123
LiAg,-0.24606999999999998
Ba4SiPb,0.35959
Er5BiAu2,-0.32885
BeFePd,-0.20836
K2MnS2,-1.06691
LiV2F5,-2.65961
ZrPt3,-1.05687
BaCd2Sb,-0.30585
Mg2FeWO6,-2.3866099999999997
TlCl,-1.0440200000000002
Cr4Cu3O2,-1.5610600000000001
Ho3ScO6,-3.85426
Li4FeO3,-1.82121
BeTlCr,0.98852
Er5Sb3,-0.8842700000000001
HoGeIr,-0.9593
Ba2CrSb,-0.1626
RbTiBr3,-1.45434
LiGaTe2,-0.63936
Sc(VGa2)2,-0.38756
BeGaBr,-0.06154
MnGeO3,-1.6445299999999998
TiPt3,-0.84804
LiMnVO4,-2.27645
Ti2ReIr,-0.79319
Yb2AgPd,-0.74493
NF,0.24702
H4IN,-0.39004
MoCl4O,-1.13086
