pretty_comp,magmom_outcar
Hf2ZnRe,-0.0
MnCo2Si,4.9987281999999995
SrS3,-0.0
TiSiNi,-0.0
Y2CuAg,2.8513277
LiMn(CO3)2,8.0
Ni3Mo3N,0.0
RbRuO3,-0.0
Pr3IrO7,3.7552510999999997
RbCrCl3,8.0000001
Zr2TiBe,-0.0
Be2PCl,-0.0
ScSbRu2,0.0
SmRhO3,-0.0
BaYBr5,0.0
SnMo3,-0.0
Al(MoS2)4,-0.0
Ba2ZrPb,2.9852686
Tl2CdGeTe4,-0.0
CrB,0.0
GePbO3,0.0
Zr2Al,0.0
Li3Fe2CoO6,2.0
Sm3AuO6,-0.0
TiMn2Ga,2.9317156000000004
Mg3ReH7,-0.0
DyZnGa,0.0
BaHgPb,0.0
MnCu2SiTe4,4.8555375
Sm(AlSi)2,0.0
Hf2S,-0.0
RbCeS2,0.9879934000000001
Li2MnF5,8.0
BeTeBr,-0.0
ThSO,-0.0
Ba2MnTeO6,4.9944982000000016
Si2TcRh,0.0033014000000000003
Lu(CrSi)2,1.1352802
K3As,0.0
SrBeTe2,-0.0
Dy2Sb2O7,-0.0
Li2VBPO7,2.0000001
LuAu,-0.0
ScBeZn2,-0.0
UAl2Pd5,2.2625947999999996
Ca(FeP)2,-0.0
LiV4OF,8.0000001
NpPd3,3.4021172999999996
TmCoC,0.33733270000000004
BiN,0.0
DyInPt4,-0.0
CaMgBe2,-0.0
LiBeTl2,0.0
BaSc2Re,-0.0
CaPmHg2,0.0
YAlGe,0.0
CdSnF6,-0.0
Ca(CuSi)2,0.0
BeZn2Si,-0.0
Cd2Re2O7,1.7462688000000002
GaIr,-0.0
NdTmTl2,-0.0
Li2ZnPd,0.0
BeCl2,0.0
HoAgGe,0.0
PtO,0.0
PrGaAu2,0.0
ZrSiTe,-0.0
BaYGe2,0.0
Ba4ZnIn,0.0
Th(SiOs)2,0.0
H3C4NF2,0.0
Zn2W3O8,0.0
MgBeTc,-0.0
Li3Fe(BO3)2,9.999986300000002
ZrP2O7,0.0
Ge3F,-0.0
USnPt,2.0054611
TbInCo2,3.9840867999999996
Sm2Se2O,0.0
TmZrSb,-0.0
ZrTe5,0.0
Li3TaO4,-0.0
Nd(SiPt)2,-0.0
Be2WSe,-0.0
Ba2TlTe,0.0
LiYS2,-0.0
MgBeOs,0.0
Yb(GePd)2,-0.0
NiTeO4,1.9992933999999998
PdF3,0.8707601999999999
NaCuPO4,3.9284125
BeTeW,-0.0
HgBiPb2,0.0
Tb5O9,2.985119
MoRu3,0.0
NaLi2Sb,0.0
DySb2,-0.0
ScRu3,-0.0
Th(GePd)2,0.0
BeNb2As,-0.0
LiCoPO4,5.999998400000001
ScRu3C,0.0
BeGaOs,-0.0
Pr2CuO4,-0.0
CoO2,0.7932557
Ca2PdRh,-0.0
KMnAg3(CN)6,1.0
Na2Ti3Cl8,5.9997041
SeBr2,-0.0
K4Ru2O,-0.0
DyAlO3,0.0
Li7VO5F,1.0
TiPN3,0.0
Nb3O7F,-0.0
LiNO3,0.0
Sb2Pt2O7,0.0
FeP2,-0.0
Nd2SO2,0.0
Bi4O3F7,0.7720903
MgCdHg2,0.0
DyYCd2,-0.0
Li2PbAu,-0.0
Zr2IrRh,-0.0
RbLiMoO4,0.0
Cu2Sb4S3,0.0
Sm2Sn2O7,0.0
AsH3,1.2724209
As2SO6,-0.0
H3S,-0.0
MnGaCo2,4.1321084
Nd(MnSi)2,3.5443092000000003
Be2CuTc,0.0
Ga2CuO4,1.9891048999999998
Lu2O3,-0.0
Ba2YF7,0.0
V2P7,0.0
Tb2InGe2,0.0
N2O,-0.0
Cd2Hg,0.0
CaBe3O4,-0.0
Mn3CoO8,8.0001297
Ti2TcPt,-0.0
Sr2IN,-0.0
Ba4GaP,-0.0
Ca2SnN2,-0.0
SiPt,0.0
Sr4I6O,-0.0
ZnB2(CN)8,-0.0
Re3N,0.0
NpOs2,1.4999999999999999e-05
Ba3SiO,0.0
Yb(ZnAs)2,0.0
Na2LuPCO7,-0.0
Sm3Ga,0.0
PrBPd3,-0.0
K4BeW,4.7319322
Lu3SnC,0.0
FeSbAs,-0.0
Nb2CrOs,0.0
PrSnPd,-0.0
BeBi2Pb,0.0
SrTa2Be,0.0
Li3V2F9,4.0
Li2PdF6,0.0
BeB2,0.0
Zr2InC,0.0
BaNbCl,5.812533999999999
Na4CO4,-0.0
TlFeSe2,2.9925362
YBeMo,-0.0
Mg3B,0.0
Er3Ru2,0.0
SmHoTl2,0.0
TaBi3O7,0.0
MgTaRh2,-0.0
CaCrO4,-0.0
Li3Zn2SbO6,-0.0
Pr5CuSe8,-0.0
SmHoIn2,-0.0
Mg5(HO3)2,0.0
ZrZnO3,-0.0
AcInAu2,0.0
BeTeIr4,-0.0
H6PbCBr3N,0.0
Ba4CuSe,-0.0
NaTeF5,0.0
NaCu3O4,-0.0
LiNbRu2,-0.0
BeAlRh2,0.0
TlSbTe2,0.0
Cd2AgRh,0.0
Be2CuCl,0.0
Ba4FeW,3.2192392000000005
Mg2VBiO6,0.0
SrC2,-0.0
As3HO6,0.0
TmInRh,-0.0
Li2DyPCO7,3.5000000000000016e-06
Sr3LiRuO6,5.9607027000000015
Ba2HfBi,2.6433983
Ba4ScMo,2.57e-05
PaN,0.0
KTaO3,0.0
ZrBeBr2,0.0
NdAg,0.0
NaTbSe2,0.0
GaCuS2,0.0
Na2Mg(CO3)2,-0.0
SmInO3,0.0
Mg2PN3,0.0
TmAg,-0.0
Li8SbS6,0.0
ErCoSn2,-0.0
TiFeCoGe,0.9998288000000001
ScFeGe,4.5433664
Al2SiO5,-0.0
Yb(MnAs)2,4.9946039
Rb3BP2,-0.0
KV(SO4)2,2.0
BaZn4Br,0.0
Cu2Mo3Se4,-0.0
MgGeP2,-0.0
ScTaFe2,0.0
Cu2GeAs,0.0
BePdCl,0.0
Li2V3F8,9.0
BeRu2Pb,0.0
Mg2AgRh,-0.0
DyInPd2,0.0
FeCu2SiSe4,3.9245184999999996
MgAsP,-0.0
Ce2Mo2C3,-0.0
ThAu,0.0
SrBePb4,0.0
SbAsF8,0.0
DyNi4Au,0.0
BaSn2Sb,0.0
Ag2HgO2,0.0
Nd2CdS4,-0.0
ScAlPd2,0.0
KTi5Se8,5e-07
Er(VGa2)2,0.0
LiZnP,0.0
DyPt3,0.0
Ce2AlNO3,1.5064636
Li3Co5OF,8.5809844
BaO,0.0
Ba4ScCd,2.0393816000000005
KCaBr3,-0.0
Cd2Ru(CN)6,0.0
Ba2HfO4,-0.0
LiSmAu2,0.0
SmCdPd2,0.0
Li2Co3TeO8,0.9621708000000001
Ca3SbAs,-0.0
Yb2AlSi2,-0.0
Fe3PH6PbSO4,3.0000687999999998
Rb2GeS3,0.0
Be2ZnSi,0.0
Ba2LaTi,2.3e-06
Be2BO3F,0.0
K2Dy4Cu4Se9,0.0
CdAuO2,0.0
GeAs,0.0
Li2GePd,-0.0
Be2FeSb,0.9639110999999999
TaTlO3,0.0
Pr(CoAs)2,1.5615587
Dy(BRh)4,-0.0
AuSe,0.0
CrN,2.3136611
HfMgO3,-0.0
BiPbClO2,0.0
CaSn,0.0
Ce2TeO2,1.9970651999999998
SrTaBe2,0.0
DyPd,-0.0
Cu2Te,0.0
LiYSi,0.0
K3Al2As3,-0.0
LiZnHg2,-0.0
BeTlTc4,-0.0
Sm4Sb3,0.0
TbPS4,-0.0
Si2MoAs,-0.0
MgTa,0.0
Sr2SnO4,-0.0
NbSnS2,-0.0
Pm2AgRh,-0.0
BeZn2W,0.0
Li2CeO3,0.0
Y2CdIr,0.0
CaUO4,0.0
CaCu(SiO3)2,1.9999206000000005
Ba4LiP,-0.0
Nd2Ru2O7,1.5335127
CdCo3N,3.11435
Tm2SO2,0.0
TiNi2Sn,6.1e-06
BeRe2Mo,0.0
MoBr2,-0.0
LuNiBC,0.0
CaZrBe,0.0
S3(NCl)2,0.0
Ti2TcNi,-0.0
Ba4YPb,1.8606078000000001
Ba2BiP,-0.0
Li2UI6,4.0
YbMn4Cu3O2,9.067546
BiSbO4,-0.0
Pr(AgGe)2,0.0
Li3CrSiO5,6.0
BaZnSi,-0.0
AgCSN,0.0
NbCrN,-0.0
LiBe2Pd,0.0
MnBe2Tc,-0.0
LuZnRh2,-0.0
Pm2IrRh,0.0
MgZn,0.0
H3OF,-0.0
Li6PS5Br,-0.0
TiZnIr2,-0.0
HoAgTe2,0.0
YbCl2,-0.0
Yb5Sb3,1.0676038
NaBeSn2,-0.0
La2Pd2O5,0.0
BeGeMo2,-0.0
RbCS(OF)3,0.0
NaTiS2,0.5453677
TbO3,5.9999997
NiSO4,3.9997601
Dy3Sb4Au3,-0.0
LiPb,0.0
CaMnSi,3.7872872
YbH2,-0.0
LiSiPd2,-0.0
HfSnPd,0.0
Ag2Cl3,0.0
Rb2Be2O3,-0.0
Li3Ni4O4F3,5.8703372000000025
Na2GeF6,0.0
HoTmCu2,-0.0
Th3B,-0.0
YbTlPd,-0.0
Tb3NbO7,0.0
Li4MnF7,8.0
AuBrO2,-0.0
SnC,0.0
CaGaAu,-0.0
TmIO,-0.0
Na3Cl2,-0.0
NaCu2O3,0.0
SmOs2,0.0
Sn(HgSe2)2,-0.0
Li3CoNi3O8,1.9886268
PaAlCu2,-0.0
KClO3,-0.0
Li6CrO4,8.0
CoCl2,2.9995762000000004
TlFeF3,3.9999997000000014
ErAgSe2,0.0
LiIn,0.0
Li3Nb3TeO2,0.0
Ba2YCo3O8,2.7259984
Ta2SnO7,-0.0
GaFeIr2,4.1793776
MgV2O4,7.9320144
UV2O6,3.9999974000000003
Li2ErTl,0.0
Ba2ZnN2,-0.0
CuNiSb2,-0.0
Sc2In,0.45981350000000004
V2CdO4,7.999517599999999
LaH3,-0.0
ErPt2,-0.0
TaSbO4,0.0
Hf2ReIr,-0.0
Tb3(CoGe2)2,-0.0
TbCuSe2,0.0
LiGePt2,0.0
BaAg5,0.0
ErPb3,-0.0
FeSnRh2,3.7411936000000003
Na3P,0.0
ZrAgMo,0.0
Li2(CoO2)3,0.8073916
UPbO4,-0.0
EuIO,-0.0
Ba4NiCl,0.2062344
Cr(SiO3)2,4.0
H3ClO,0.0
ZrSnRh2,-0.0
Ba2MgV,-0.0
NiGePd,0.0
BeCuRe,0.0
MgNiO2,3.9851765
TiAuCl,0.0
TmMgPt2,-0.0
BaSO3,0.0
NdTe,-0.0
V3NiS6,0.00045969999999999995
BiBAs,-0.0
BaZrO3,0.0
Nb2CS2,0.0
SmCl2,0.0
VFeSb,-0.0
Nd3Sb5O2,0.0
BCl(OF2)2,0.0
DyYAg2,-0.0
KTlHg2,0.0
BaAl2B2O7,-0.0
TcB2,0.0
SmAu,0.0
CuSnAs,-0.0
CaZnSiH2O5,-0.0
Fe2As,6.5009269
CrSi2As,2.824539
Ag2PbO2,0.0
BeCuBi4,0.0
Ba2SnSe,0.9969501000000001
YAlAg2,-0.0
PbClF,-0.0
PH6(NO)2,-0.0
BaPdF4,0.0
Li4V3Ni3(WO3)2,6.0064335
MgBe2V,-0.0
Tb(SiOs)2,-0.0
HfBeBi,-0.0
Ti(SiO3)2,-0.0
CaCrF4,8.0000002
NaCa2Tl,0.0
YNi3Se2ClO8,0.0
ZnReO4,0.8688572
TiF2,1.9999999
Na2BeNb,0.42727170000000003
U2Ga2O5,5.8855377
BaSrHf2,-0.0
TeAs,0.0
OsC4(ClO2)2,0.0
Nb5(AsPd)4,-0.0
Sc2NiRu,-0.0
Na3VBAsO7,3.9999998999999997
NaZnP,0.0
ErCu4Au,0.0
MgScGa,0.0
BaGaBO3F2,-0.0
Ce4B2N5,0.5161671
Cu3O2,0.0
BeNbW,-0.0
YCuO2,0.0
Li4Co5NiO2,0.6193026999999999
BeNbTe,-0.0
HfMg,-0.0
SrBeF4,-0.0
BaTlPb2,0.0
ScBeTc2,0.0
TiSiRu2,-0.0
CeFeSi,0.0007363
LiMgPd2,0.0
CaCdO2,0.0
Ca5MnO6,4.9999998
Lu2MgTc,1e-07
ScRh2Pb,-0.0
ErInAu2,0.0
Ti3Ir,-0.0
Na2NbF6,1.9999947
BaTcBr2,2.365442
Li4CO4,0.0
Be2SnSb,-0.0
HfBe2Rh,0.0
Rb3Ge,0.9655209000000001
Ca2CeO4,-0.0
BeCo4Pb,5.344436099999999
Ca3SnN,1.0452973
AsOs2Cl,0.0
Li2FeS2,3.9999946000000004
Ba4TlFe,0.2962514
NbGaRu2,0.0
Er2Re2Si2C,0.0
LiInSn,0.0
Na2La2Ti3,0.0
PmHgAu2,0.0
LiHoGe,0.0
BaLiRu2,-0.0
NdZnAu2,-0.0
Mn3Ge,1.0385695
Ba4BeHg,0.0
TbGa2,0.0
Ba3Mn2O8,3.999996
BaSbBr2,-0.0
MgBeMo2,0.0
AsOs2W,-0.0
ZrGeTe,-0.0
BaSr2I6,0.0
TeAsIr,-0.0
BeNbFe,0.8503978000000001
LiAsSe2,-0.0
SrLi2In,-0.0
AlCuF5,0.9999982
TaZnRh2,-0.0
KTm,-0.0
YCo5,6.7962512
BaTa2Bi2O9,-0.0
NaYbF4,1.9961688999999998
CdPd,0.0
AlCo3,3.7372345
ThAl3Ni2,-0.0
MnAlCu2,3.4703288
Al4Cu2O7,0.3391245
YbPrZn2,-0.0
CeP,0.6033038000000001
AlVFeCo,0.9030799999999999
Cr2FeSe4,5.9969297999999975
Ba4GaRh,-0.0
Al(BiO3)3,5.9506431
BrClO,-0.0
BaVS3,1.3777995
Pr(SiOs)2,0.0
Mn(AlTe2)2,4.9939572
K4Ba(VS4)2,0.0
VS,2.0046018
Pr3Cd,0.0
Ba4HfNi,3.6102345
LiTmO2,0.0
Y2TeO2,-0.0
CaBePt,0.0
Nd3Mg,0.0
H5CNO2,-0.0
Mo2C,0.0
Sm2(Zn2Ge)3,0.0
Ba4LaW,9.000000000000002e-07
ScHg,-0.0
Pm2ZnPb,-0.0
Sb2Te4Pb,-0.0
LiAl2Ni,0.0
K3VSO3,0.0
K2TaCuSe4,0.0
NaBeSi2,-0.0
SnBi3,-0.0
NiO2,3e-07
KBiF6,0.0
Nd2Zr2O7,0.0
LiYbO2,1.9993773999999997
Ce(NdS2)2,2.7285673999999998
Y(AlSi)2,0.0
CaSc2O4,-0.0
Tb3Yb,0.0
Nd5Ge3,0.0
Li3CuSbO5,2.15e-05
TlBiS2,-0.0
HoCu5,-0.0
TmMnRh2,4.4539379
ZnBi2O5,-0.0
Lu6Sb2Mo,0.0
Na2Cu2TeO6,1.8827038
Mg3AlPt2,0.0
Zn(FeS2)2,3.9902352
Rb2NpO4,0.9999998999999999
Pr(MnSi)2,3.5476151
NdVGe3,0.0
ThIN,0.0
TaW3,0.0
BaTi4O7,3.4730763
BaO2,0.0
Zn3Ge3(SbO)2,0.0
Lu2Ta2O5,0.0
CuP2(HO)4,3.9967417999999997
Mg3Co,0.0
LiCuF4,0.0
MgAl2O4,-0.0
ScIn3,-0.0
Tb3AlC,0.0
NClO,0.0
Ti2MnGe,0.9103346
Co2P2O7,5.9999999000000015
Cu2SnS3,-0.0
CuH4(OF)2,0.9958174000000001
Sm2Co2P7,3.9244324999999995
HoInAu2,-0.0
AlPO4,0.0
Na2SrBe,0.0
PrGa3,-0.0
CaMn2Be,6.3143413
Yb3In,0.0
Ca2FeSbO6,8.9052747
LiYAu2,0.0
BeVSe,0.0
Bi3Se4Br,-0.0
Rb2TlGaF6,0.0
YCdPt2,-0.0
Pm3Tl,-0.0
Y2SO2,-0.0
SrCuP,0.0
UGa3Ni,2.355325
Na2Cu2Si4O,1.9509918000000002
MgNiH3,0.0
TcAsPt2,-0.0
LiTcO3,-0.0
PuNi2,1.4499999999999993e-05
BeNbPt,-0.0
NaB(CO2)4,0.0
KSc2Co,5.550000000000003e-05
HfPRu,-0.0
Pm2ZnRu,-0.0
ThIn3,0.0
SrAl4Sn3,5e-07
Tm6CoBi2,0.0
ZrBe2Sn,-0.0
TeBr2,0.0
LiAgF3,5e-07
Cr2CoS4,6.2187177
ZrCo,0.00035380000000000003
LiHg3,0.0
Na4SnS4,-0.0
CrS2,3.9717422
NaScO2,0.0
Nd(NiP)2,-0.0
Th(Al2Cr)4,1.5018876
SmO,0.0
Sc2TcNi,0.0
CaSiO3,0.0
BaGe4Bi,0.0
Ba2NbTe,4.5453554
CaBeFe2,4.0255814
NaAsPd,-0.0
K2NaCrF6,3.0000001
SmAgAu2,-0.0
ZnCuMo,0.0
K6Cu(SiO4)2,0.9932889000000001
Pm2NiRu,-0.0
YTaO4,-0.0
Ni3Sb,0.0
Pr(NiP)2,0.0
BeV2Tc,-0.0
SrZnO2,-0.0
PrSnAu2,0.0
BePb4W,2.9393348
ScCu3,-0.0
Ba4TcPb,2.6568385
K2S5,0.0
Ho2CdIn,-0.0
RhCl2,0.0
NbAsIr2,0.0
Tb2Mg,-0.0
BeTl2Te,-0.0
CaTbF6,1.9432123
KNO3,-0.0
KLiSO4,0.0
TaSnS2,-0.0
Ba4PtRh,-0.0
Al5Co2,-0.0
BaCdO2,-0.0
Ba4MgSe,0.4997915
Ba(PRh)2,0.0
ZrAu4,0.0
Tb4InRh,0.0
CaTiO2,-0.0
UAs2Pd,3.0374868
Li4Co2S9,6.0
Ba2CrW,8.209999999999999e-05
SmYIn2,-0.0
CoSi,0.4293752000000001
Sr2MnCuSO3,8.0000217
TaBe2Re,0.0
MgAlRh2,-0.0
NdGeRu,0.0
GaS,0.0
Ca3Pb,-0.0
BeV2Cl,5.95e-05
Bi2Os2O7,-0.0
AlGaPd2,-0.0
VZnF6,1.0
Al3NO3,0.0
Rb2Te,0.0
KBaSn,2e-06
Ba4SnPt,0.0
Sr4PdO6,-0.0
Ho3Tm,0.0
Li2Fe3SbO8,3.0001226
CoNiSb,1.5202776000000002
LaBeSe2,0.00027160000000000004
AgSbF6,0.0
InReGe,0.0
KBeRu2,0.0
TaBeV2,0.0
BaCaSc,1e-07
PrB2Rh3,-0.0
KPt2Se3,-0.0
BeFeOs,1.8409328
TaAsW,0.0
TbYbHg2,-0.0
Mo3Pt,-0.0
K4SnO4,0.0
Be2Zn,0.0
Li3Re,2.1185462000000004
SiSnO3,-0.0
BeV2Ir,1.152383
Pr2ZnHg,-0.0
SmGe3,0.0
TbBS3,0.0
NaCaTaTiO6,0.0
ZrCuSi2,-0.0
BaBeCo2,1.2341387
Mg2SiO4,-0.0
DyIn5Rh,0.0
Ba3NaIrO6,3.9458756
LuSnPd2,0.0
ZrNi2,-0.0
KSmPdO3,-0.0
ZrBeCo4,2.7221702999999997
Ba(PrS2)2,0.0
YNiSb,-0.0
RbCdAg3(CN)6,0.0
BaC2,0.0
LiMnBe2,0.6296971
BeGa2Os,0.0
Ca2MgBe,-0.0
MnAlNi2,4.0133982
YbPaRh2,0.0
Na6MnO4,9.9741414
ZrCoSb,1.25e-05
K8NO3,0.9999998999999999
BeCoBr4,2.4679097999999997
TaGaCo2,1.713998
NpB2,2.3583892000000004
Ba4ScZn,2.0399408
NaYSi,0.0
