pretty_comp,n_em300k
KCu4S3,3.790075966464407
CoMoP,4.5914438496372965
TlCuPO4,1.5931605979705272
K3GeS3,1.015884937507967
Ga2HgSe4,0.14020871970146045
CaCoO2,0.00027589039027016974
DyRh2,3.5595807351533693
ZrIn2,3.6295490724373187
Sr3CdIrO6,4.240656995145585
CrCo2Sb,3.731366188793496
Sc3Hg,6.721219195888957
CeDy3,3.8982306704260212
Th2Pd,3.568292525983702
Nd2NiIr,6.3842536395700735
Sc2IrRu,5.095979235389136
MnAlGe,4.1253998557849645
PrSnPt,4.684220878363728
LiAc2Ir,6.886448082728939
ErSi2Ni,7.067562362935678
CaMnGe,4.170058926271504
CoPO4,4.510996663387381
YbIn2Au,7.197637448277253
CeZn,4.222221022148099
YbAl2Cu,4.706403638540039
MnO2,4.1695012161554565
Pd3N,5.8385099164050684
As2PdO6,0.000530789706071301
YRh,7.334274730772872
MnTe2,6.516797910416483
Tb(NiGe)2,6.802286640373112
ScGaPd2,5.615819659399918
HfSb3,6.320248761793412
La(CoP)2,5.023224233548635
Nd2BiO2,4.928534750316066
ThSO,0.6928160945567732
Tb3Er,7.160857749846611
HgRhF6,3.487928700418895
RbMnBi,4.5781326964641575
Mg2H2O3,0.4877802114139309
Ta(NiTe)2,4.061853095793961
YbMnGe,4.165932844335494
NdS2,4.3706020331267945
B3Ru2,6.781947113023229
SmRhC2,4.194047108643917
TbN,0.0005478628874316929
Li2BeSiO4,0.701538009036971
Li4Ca2Mg(SiN3)2,1.3529287277158488
Al2Pt,4.609909722021562
TbHg,7.273762615568877
Yb2HgGe,3.6309220139355287
Ba5Nd8Mn4O2,0.00015590504905363018
NdCdAu2,5.434029423435656
BPO4,0.4904279918456914
HfTc2Sn,6.667372808697789
CuI,0.2885811274169308
Ho2OsPd,3.582779289448826
Ba4HfO6,2.6861043576765518
Tc2P3,4.7217662588448865
Ca3WO6,2.113912607378912
VRu3,6.496941083456843
Na2TiAu,3.628881848052462
ZnCrF6,4.57781926260113
Sr3P6(N4O3)2,0.9634309943858268
BaGaCu2,5.037213382332115
BaNd2PtO5,0.7105800290952251
MgScPd2,5.1725849543121365
LiAc2Si,3.724956399306164
NdMgAg2,6.1335569910533305
NpAsSe,6.1216435864254475
YbF2,0.8351084377774809
TbPO4,2.5958235642637697
LiHo2Ir,6.720102313216256
BaDy2PdO5,5.490418608976442
ErCoC,6.518860802222848
VSiPt,4.8313204713802245
Ti2Co3(TeO2)3,5.944101934810513
Er5BiPt2,5.1291304158546565
NaNdSe2,0.5680819851272446
Rb3(FeSe2)2,2.4064774638807545
Yb(ErS2)2,0.5837337851830132
Sc3Al,3.547715808001957
V2Cu3H6O,2.585115558983864
U(NiP)2,4.025017971106428
Si(O2F3)2,0.6763761146776299
AgAuO2,5.7974310131733375
LiSb3P2,2.977488431278855
FeSbAs,4.10955329381244
Sc3RuC4,4.274602452226213
RbTi5Se8,4.533056080608106
UTlO3,0.09742593102458356
Pr2S2O,6.640836958659526
Ce(CrB3)2,3.9721850142380934
Mn2CoSi,4.530814920458634
ThOs2,4.13289346448859
HoAl2Ni,4.806566289274247
Sc2IrPd,5.636075663320291
Li5TaO5,2.935869008994444
YRh3C,4.835324384635023
Er(TiGa2)2,4.98348937039868
MgI2,0.8747373125658707
Ba(NiO2)4,5.216452715519824
Tm2ZnPt,7.710468099838026
Rb3Sb,0.0010251667223350408
Li2Ti4VO8,4.2392673369135645
K3IO,0.3664476354888498
MgRh5,4.5759428837269365
BC2N,0.4833853595751546
Sm(Al2Cu)4,7.634952357964503
Zr3O,4.993001193538881
Al2CO,0.2603677557853829
DyTiGe,4.36612976342471
UO,4.01707156806216
Cr3N4,6.615580721176716
CaHg2,6.832353940528772
HoSi,4.766987555533646
Nb3Au,3.639907561149419
FeCoSn,3.5489206769153245
Er5Sn3,5.534154771872776
Rb3AsSe4,1.0186913682119458
CrPt3,6.193204192773344
AgPtO2,0.0007511361252836642
TbB2C,5.464152342278118
Ag2MoO4,0.8027027448489522
VN2(Cl3O)2,0.0008386197305014092
P3Au2,4.731191580488583
Y(HO)3,0.6037386040357522
FeCu2SnSe4,5.5862828280707255
KrF2,3.0575784151113
YbPrAg2,7.106394128887049
LuAsO4,0.5321906441404584
LiBC,0.25470062196954274
Ce(CoP)2,4.271881546197588
HfB4Ir3,5.481094235328318
Ca(NiO2)4,5.259168007310441
Rb2PdBr6,0.12877847640523046
LuScZn2,7.6723023880085135
YbH2ClO2,5.365281916699646
Si2O5,1.0662030109065723
UAlNi4,4.595847228003511
HfPaTc2,6.592356807251346
Fe3Se4,3.5553639012962996
LiCaPb,4.1266190069762265
MgCoF5,0.09293832031508747
LiCdAs,6.203616907763367
HoCuSi,4.005483298454118
Nb2CoO6,4.254738490128639
U2TeO2,3.1084147414157948
Co5O8,6.984028116256251
Dy2Mg,4.420913202999849
Ge2Te5As2,0.03637966894470818
TaFeSb,3.922380381624219
Li2Mn(NiO3)2,4.3944106896051744
Cd3(ClO)2,0.250081837811912
ThIr2,7.75964135420165
NpO,7.194134144852089
KAgC2,0.6593181291503436
Mg2Bi2O5,0.6341403084457148
K2ErF5,0.4181384777932057
Sm2Ge2O7,0.5480894457229325
Ca2Ru2O7,4.3256723768014975
NdAs,4.848692996870804
TaSe2,5.612390229423233
RbSr3,4.141568620440085
As3H5,0.5869116400454989
Hf2Ga,4.39472682466137
RhCl3,3.380291448895727
Tm2MnOs,7.8015526155752735
PrCuSn,4.262978976465154
Tb2Be2O5,0.5014078725972608
Zn2SnSbO6,3.5692949015244584
Pm2ZnGe,7.5951419601436125
GeP3,7.5826393594310595
Ca3BiN,0.3843903549002388
BeAlIr2,4.722263962735787
NdInRh,5.191770255737082
CoNi,6.511944871744468
BaTl2,5.623656574475472
SrHIO,0.3031081588538347
K3BS3,5.653019794829517
Mg4As6Ir7,4.095818678278024
YAlGeO5,0.5880620693974796
Li2CuNi(PO4)2,3.0935988485502923
PtN,4.678554143866008
BaHfMo,4.102446145073493
KRb2TiF6,7.1889443864624445
Ba3N2,0.00023260256682205147
Lu2ZnPt,6.951448013551898
LaBiPt,0.00027714064674374265
LuHCl,5.3363251738859185
Al6Re,3.9024837375191135
NbI3,3.735679136647944
Ti2Be7,3.5676971034916662
CaB2(H2O3)2,0.7033162463101807
BaAg2,6.301860589090798
Li2CuSb,0.4477365156018233
BaZrO3,0.6504253364014826
RbHgF3,0.3438850544878649
PbSO3,0.8887543352416483
RbCaH3,0.5453194906480813
AgN3,1.1342986952141283
BaB2F8,1.3377882440975426
Ba3P4,0.7008257055351163
YErHg2,7.4360128781166255
ZrB6,6.312749393005436
Sb3O2F5,8.89608019901823
BaOsO3,6.9967394038737485
CuAuF5,4.2739100018553975
Pd3(PbS)2,5.6363404579082745
Mg2ZnB2Ir5,4.0376679858473965
Tm2InOs,6.532861896656206
Rb4Br2O,0.3560351767392007
SmCdAu2,5.394392291837021
TmBRh3,3.535863087012169
UB2Rh2C,3.935065993234497
Li5Mn3Co2,0.013091517852706116
Na2LiNF6,2.133074837245689
DyTe2,5.631193732451018
Ba2CaMoO6,1.0164835748316647
CaAgSb,2.7509835604586383
NdSmZn2,7.907761832557544
Mn2NiO4,6.728660077155976
K2Hg3(GeSe4)2,0.29598246694620617
Rb2TbF6,3.204013895801684
Mo3Os,6.093863222281691
TbGeO3,5.9967712042166825
ScSnO3,3.698940594448972
PrRhO3,3.7947763990973282
PHF2,2.2034162569606117
Li5ReO6,1.9323907856204283
Li2FeBr4,3.6538278298535953
Li6Zr2O7,2.451185634590745
YPt3C,3.5110539283233733
Al2ZnTe4,0.2292643142349513
NaSmTe2,0.5253589571846171
ErGePt,4.733352520492282
LiIn2Rh,4.967346914574233
Ba3NiIr2O9,3.882615986558245
Al2Sn2O7,0.21705050123028646
TmH3(CO2)3,1.4242830018933927
Cr(GeO3)2,4.159987307600148
Dy(GePd)2,6.36405151655537
TiMn3O8,6.476794244397827
TiSiPd,1.1680297122495615
RbCu4S3,3.9174580615270624
LiAsH2OF6,1.2135241153402103
FeNi(PO4)2,4.309065386635093
Li2Ni3TeO8,0.001416485848167285
NaHCO2,4.933447287444493
Mg2NbFe,3.603837298446333
Tl3F,6.391275159897503
Ca5As3O2F,0.6430251480286459
ZrAl3,5.675081418954914
NdInCu2,7.0455263384637865
GaH3NF3,0.8873496827556889
SrZnCl4,0.4537984830049872
Li3Nb3TeO2,0.9116035044716496
TlPd5Se,3.613743510940493
ErSnPt2,5.295486926362779
TaCu3S4,1.2164982946474912
Li2YbSi,4.5315256212600525
CoF2,3.8959839608839233
Rb2SnTe5,0.3267520900372886
TiSi,6.625871549623661
Ba2NdBiO6,0.7061669756500579
NaAu2,5.671489012825277
Li2Mn3SnO8,7.29513804107125
Th(FeSi)2,4.678711316890941
NdZnAsO,0.5418161732490556
PuSi2,5.904698443797213
MgSc2Tc,8.227766046676802
CdCN2,0.7855234812308348
Yb3Zr,4.883470464211798
Ho4NiB4,6.477864612906282
Ba2AlCo3O8,3.6767351689527326
Ba3NaRuO6,1.8269889530457224
NbTl3Se4,1.7845217902832369
Bi4Te7Pb,0.3423938852467197
MgNi3C,3.628684047629966
K3Cu3As2,0.5597604416981617
Na3N,4.231980933258188
LiFe3O3F4,4.515187450189068
Ba2YbSbO6,5.4817383070417165
FeSiTc2,7.108906624402668
Be5Pd,3.682999288874597
PmGaCu2,6.654827928268203
MnInNi2,5.764330309898074
Yb(SiPd)2,6.190988997701835
LiAsF6,1.4510136887659952
Sr3In,3.9437544976682446
KCuF3,1.7200475317258916
Li5P(S2Cl)2,2.024362729846711
MgCuP,0.0009065189079570156
Zn2SiO4,0.3020458176733649
LuCu2,6.997091698277688
CoGe2,4.357443933851226
RbNaSi2O5,0.37723265924447297
TlF,0.6956578613156679
Sr5Sb3,4.432725760444901
CaCeAg2,4.8865484479652
Tm3Si,3.783495564580154
Ca(ZnSi)2,6.223814935335381
TbErO3,0.5267398224648544
Sm3Sb5O2,3.7004043033525775
NaIrPb,3.811513857889057
DyPbAu,5.471351120959853
AcPbAu2,5.497335960958546
HoInRh,5.396248305104645
Ca3TaGa3(SiO2)2,1.1801785031330685
CeHSe,3.891942534927621
YbCdAg2,4.960134651728245
Sc2MnSi,4.346187477157908
Sm2ReO5,1.1643259164895063
Li2InAg,4.810550565678851
LiAlAu2,4.4950418191282955
CaPbI4,0.7907985410647718
YMgNi4,3.572839335656816
BeAu2,4.5727615602091465
NdZn5,7.503116213114378
BaSe3,0.5159134507670883
Sr2AlTlV2O7,4.31427658106245
KInO2,0.6342909585234499
Tl2Te3,0.275370074993555
BaAlCuMoO5,3.4165421275008665
Hg3C,5.482777512661167
LiFe(CoO3)2,5.532162904887402
Rb2IrF6,5.1944413010051065
Li2SbPt,5.456311624695208
NiSnF6,4.060982271208284
Lu2GaAg,3.6073663245291714
LiAsPd2,5.955541661447202
TlN,0.00015643658133254743
LiThAu2,5.674520025894027
Ho3Co,6.711823475386679
UMn2,3.5320729105899216
Si3Se,4.256901452193793
Ba2HfS4,5.7386042731060325
YbNdCd2,7.020489749236411
Zn(RhO2)2,0.7900204349955692
Ni3(SnS)2,4.300961535580666
Hg3Bi,4.710669828227415
Ca(SiAu)2,5.753821926433827
CeZnGa,6.087123635705308
CaAcIn2,6.8716052666166565
CaMnO3,5.14706810803531
KMnRu,4.53964796695847
CrNi3,8.183234503043666
Tm5(SiSb)2,5.249202598921938
ZnH4(ClO3)2,7.8935883906591515
HoNiO3,4.483240535738308
CaMnF5,5.040772978870073
AgAsO3,0.20118036221701727
NdInAg2,6.943985336000085
Dy3BWO9,2.857575368832613
Na2Pd3O4,1.5043107765525363
CdCo3N,3.9460310812404873
Bi2Ir2O7,4.021157217408113
Li4Co5NiO2,3.6270976191720186
CeVO4,4.100506824615353
Nd(MnSi)2,3.798354321299268
BaCu2SnSe4,0.17120795290116794
Ba2BeGa,3.6757010275693367
Y6TeO2,1.3108748128783043
K2Ni3S4,1.6285659581372116
Y3U2,0.0028836787627462136
AlGeRu2,5.398709352953468
Er2(NiB2)3,3.754297651568008
Yb(NdS2)2,0.4977672773207621
SmTiGe,4.330425861847396
TmInPt,4.689085903760396
Rb2Li4Pb3O4,0.70103378257345
Sb4Br2O5,1.3101536353792342
Mg2TaBiO6,1.2818960124315433
Tb2Re2Si2C,5.046662027240192
CrTe4Au,6.534515919889544
PuTe,3.113604194008212
Ba3Si2(BO)6,0.74352339297673
