pretty_comp,n_powerfact
Rb2PdCl6,2000.051954
TmPd3,57.53401643
ErMgSn,57.04103745
PrLuIn2,5.228483126
BaPr(CoO3)2,343.6214433
Ce2Nd2O7,124.99906770000001
YbScRh2,322.4680408000001
Lu2SO2,2001.3666170000001
U(NiP)2,354.79908389999997
TbSnPt,11.31187289
Ca3BiN,1537.209613
YbBRh3,329.6605185
SmFeSi,357.6464666
Yb3Sb5O2,339.316329
Li2CrCl4,887.4317991
HfZnCo2,2246.363445
Li3Co2NiO6,1095.366689
Li3Co,1358.116046
ErGa2,97.72138891
Li3V2P4(HO3)2,31.07661706
ZrRu3C,25.01930365
Na3Ni2SbO6,583.1657518999998
K7LiSi8,909.2427964999999
Na3VPCO7,579.6376705
PrSm3,131.2472611
TaTl3Se4,3258.097347
LaMgTl2,71.57786293
BaPdS2,2300.177184
Hf6CoBi2,134.442099
AlAgB,245.67445919999997
B4PbO7,663.5193059
Na4I2O,568.5131466
ThCdAu2,32.80995735
Pm2AgRh,22.68554869
Ba2NdBiO6,1712.165162
Cd4(B2O)3,810.256566
W2C,772.1313296
Bi4O3F7,33.576550899999994
TiZnN2,1308.222049
LiMgPd2,5.84039492
Al3Pd2,177.684075
Sc(CoSi)2,1497.42186
BaBr2,757.8121158
TbAlNi,82.66947351
K(SbSe2)2,1921.5345519999998
PmCd3,127.9269922
BaNb2O6,2132.907789
RbAu3Se2,2799.9976309999997
Na3Mn5O2,21.64110145
CaCr(SiO3)2,284.24123419999995
BaGaCu2,490.00768289999996
LiCdAs,3123.968004
Tm2S3,2723.3028870000007
LiMn2O4,172.67290319999995
LaZn,24.15132452
LiTlO2,639.4767249
ScAg,994.715543
NdBr3,1070.404659
CuBi(PSe3)2,771.0407536
LiAlGeO4,905.3847841
ScNiSb,2931.644339
KBO2,1098.896265
LiVIr2,208.8816837
PbF3,1545.846872
RbLi7(NiO3)2,27.08669363
Na5CrO4,315.9899203
CuCl2,93.4488215
Sm2Se2O,1269.016122
Li3Al2CrO6,639.8873434
LiMnFeO4,265.0637177
K3NaUC3O,0.209135292
NdHo3,290.90655689999994
TmAs3,935.9368526000001
Pd2N,532.8392134
TiGeO3,1215.462166
SrNbO3,496.41170880000004
Sb3ClO4,1012.628508
YSeCl,4166.335378
Li2B2Se5,942.1794591
RbBF4,582.4140457000002
Li3MnP2HO8,167.20031519999995
TaInO4,1424.296243
Si3Mo,387.391437
NbAlO4,1010.569159
Sr2CuC(NO)2,0.3948236020000001
BeAlIr2,279.7071896
V3Co,2345.9331030000008
Rb2NaHoF6,1130.917784
Mn3PdN,165.6985637
ScInIr2,1700.334419
Ca3ScCoO6,613.0008424
LiHoSe2,2735.745892000001
Li2VO3,72.83980482
MnNbGe,965.5234234
ErTl,38.80082331
Na3In2Au,82.81550583
CeCuSO,168.3873956
Li3Bi,1748.047999
SCl,442.59189230000004
Ir3Se8,882.4828796
FeSb3,1528.426999
Mg(FeGe)6,277.0574725
YbPm3,1304.768501
HoAgSe2,1724.929854
CuSe,1105.928868
Ca(BIr)2,1822.126553
CrFe3,743.3763401000001
Li8Cr3TeO2,160.4512672
TbNi2,1533.680892
RbDyO2,2471.0580879999998
DyAgPb,522.1573088
Pr3Pb,35.75976987
Sr4IrO6,66.84188988
LuBRh3,2910.0720890000002
Tl2Sn2S3,544.2109383
V3Zn2O8,8.650147757000001
Na3SbO4,710.6023232999999
NaMnF4,677.2261615
K2MgH4,2733.2471969999997
HoNbRu2,1852.793059
NpCdAu2,4530.739502
SiTe2,23.12061146
LiAl2Tc,526.9986853
YIn2Ni,208.82398930000002
Fe2P2O7,61.29397771
Na2Ti2Sb2O,62.23666136
AlVFeCo,324.12939539999996
NdHg,530.5702464999998
NaNb(CuS2)2,945.210569
Er(SiNi)2,1608.563729
ZnH2SeO5,845.9836462000003
Pr4S3NCl3,673.0663961
SiH3F,1955.162222
Na6MnSe4,299.5014292
Li(CuO2)2,5.361803237
GeRh,204.61790530000002
NaLi2Sb,1660.155583
Sc2GaOs,410.1638592
CeB4,677.0524259
YbMnGe,70.73183228
K2RbBiSe3,792.7735593
Ba2YAg3O8,984.1726099
Er2TlAg,280.6357318
NpC,4.715365987
LiTmHg2,236.6032531
VSi2,398.6789471
NdP,123.93725249999999
ErCuGe,1046.535717
Mg(CoO2)2,699.0639985
Cd(CN)2,710.8987482000001
CeS,2094.009747
SbAsF8,1315.2820869999996
PrNiGe3,57.62683856
LiCuBO3,537.9934222999998
Mg2SnO4,532.6867925
TaZn2SbO6,1709.911937
Ti2MnIr,4028.4608299999995
GaSi3,53.00647132
K2PdF4,484.7451672
MgAl2Cu,663.7705052
Rb2SBrCl6,1222.191683
TmCdHg2,170.6100544
YbSe,2105.884901000001
LaAsPd,724.4830135
Sb4Br2O5,1503.829018
CrMoF6,191.3184082
Ti2CdO5,967.4751586000001
Zn2Fe3O8,132.5432551
Ba3NbGa3(SiO2)2,1717.475373
Sc3SnC,733.8529756
K2TeBr6,2309.0402
AlSCl7,130.1291364
CdSnAs2,1164.684006
LiYO3,45.94857594
BaCeO3,45.79923289
NdS2,12.73189511
YMg2,69.02596796
As2Ru,2317.8084280000007
SrMn2Si,1321.325278
MgCdAg2,13.2249921
BaMn4O8,456.1029551
Pr3Hf,381.0586243
SmC6,17.95467674
YbBi2IO4,3459.987868
NaSnN,965.2387741
Hf5Sn4,44.83721588
TiI4,344.60145550000016
SnP7Au3,619.0094125
ThZnRh2,785.3102455
Nd2AgIr,37.52599162
Y(MnGe)2,928.6617507000001
NaNdTl2,131.26535900000002
YbAgSn,278.7680786
Ni2SbTe,649.6238725
RbRuF6,192.754004
Nb2CS,294.53567089999996
CaCu3(Ge2O)2,260.3326889
SrSiN2,1324.145542
HoCl2,586.864809
Na4Al3Ge3ClO2,573.6651399
USeS,48.63528954
Rb2ZnO2,620.590813
Rb2Al2B2O7,496.7867428
BC2N,739.8332261
Zr2AlN,636.9903662
DyMgAg2,984.8305793
DySi,60.38340095
CuP2,1809.259432
Pm2ZnIr,120.06064690000001
KHF2,761.3252474
PaZnAu2,4493.3682
CoAgO3,73.33359114
YSnO3,675.1524671
K2Be2(SiO3)3,653.6714804
Ni5(P2O3)2,68.54821052
PdAu3,164.32835409999996
Li4MnSi2O7,159.27891409999995
Er2CuRu,54.85414851
Ta4MnS8,52.75083835
V(GeO3)2,158.7432843
SmAgO2,978.5474351
BaMnCO3F2,250.02026099999998
NdLuTl2,17.99304567
YWN3,838.3609769999997
Rb3Co,521.3623818
Ba2Si5N8,1682.1051949999999
Li2NiO2F,192.96408799999998
PmAlAg2,448.5778723
Ti4ZnO9,1259.951219
KZrSnF7,296.4204538
Li2V2S5,118.7827507
NaZnF3,1044.879035
IrC2,36.46140471
