pretty_comp,n_Seebeck
SbAsO4,-326.22599
TaSiAs,-2.736435133
BaHBrO,-136.9106733
Pr5NiPb3,-78.907651
CaPtF6,-446.0011267
Li5Mn5(NiO)2,-9.3156048
CaAgAs,-128.57132
NdH3,-119.31855
Ba(NiP)2,-5.646508763
NaTmS2,-254.9987467
MnP2WO8,2.299578667
LiTaO3,-404.7696433
Ta2N,-4.935984767
MnNi3,-3.6658312999999993
BaSiTc2,-2.9691644
NpTe,-38.274673
BaPbO3,-93.713183
UBiSb,-3.485643633
Ga2CuO4,-13.33318933
La3AlN,0.08801002599999999
Ba(MgSb)2,-222.63318
CdSO4,-110.4583567
PrAlGe,-44.710165
Ta2H,9.828352267
UCoSn,-15.168629
KSb,-178.6005667
UHg2,0.35500603299999994
FeGeRu2,7.447695299999999
Ca2HN,-316.75344
TiAlF5,1.098442
Ca2Ge,-202.11426
Ge2Sb2Te5,-145.1157667
Sc4C3,-289.92823
TbSF,-119.3434767
ErZrSb,-18.674707
Be2Si,-14.565531
YAuO2,-194.0292
CoB,-36.83138933
SmErZn2,4.1188237
Er2Pt2O7,-286.0849033
YSi3Ni,1.977465433
BiTeIO3,-213.9286633
Bi2O5,-40.564034
LuThTc2,-18.149634
PrZnNi,-6.939252067000001
LuP,-9.5607654
Er2Mg,6.612211467000001
BaGeF6,-157.4065867
Mn2CoSn,-21.321653
LiHf2Re,5.6954942000000015
Li2FeSi3O8,-321.802
Sb2Os,-267.8755067
Dy2ZnIn,-6.6485938
AgBiI4,-170.7480733
Li2PmPb,-15.860548
NaTl2Cd,4.9652098
TbGaPd,-0.13734296699999998
ZrNi5,-1.813500467
FePO4,-381.5279933
TiTe2,-7.841624433
Na2Be2O3,-147.7719867
LuPb2,7.870280467000001
Bi(TeBr2)2,-284.97929
TlI3,-288.7058767
AlOs,8.161919500000002
YbTlPd2,-10.07563
K2CeSi6O5,-576.4588567000002
LiH2BrO,-118.2947533
TbNi2B2C,-33.850052000000005
Tb2Si2O7,-114.9167667
Li4VO4F,-438.1330533
TiF2,-375.50734
YCuSn,-28.23830633
BaVO3,-11.731042
Sr2MnGaO5,-39.247347
K2Yb2O3,-136.29903330000002
RbNdTe4,-241.46365330000003
Sr4Al6SO6,-138.42706
MnInCu2,3.440010767
HfSi2,-38.30444633
ZnCoPO5,-253.31291
ErSe2,-7.716359893
YbHfIr2,-16.126003
NdOF,-307.78847
Y(SiPt)2,-6.522893633
Li3Al,9.693754
HfW2,-5.7450865
Ho5Si3,-44.480628
Rb3AsSe6,-336.96078
SrMgSn,-104.6826623
U2Fe3Ge,2.210147333
Sr(SiAu)2,-1.688483407
Pd3N,-4.2974901
Tm2AgRu,-2.9362266
Ca2SiO4,-134.3273
Ce2Sm2O7,-438.9965367
Li2(CoO2)3,-1.898370093
PbF2,-283.21774
ScClO,-218.3389333
TiPt8,-0.81127014
RbNaH2,-207.14753
MgH2SO9,-178.31285669999997
BaC2(SN)2,-338.9180933
Li2CuO2,-40.19462667
Na3NO2,-99.36548467
RbUCuS3,-32.46480767
NaInAg2,1.0851027
Ho2Ge2O5,-5.1673624
RbI3,-336.5229
Li2CuSb,-267.61334
NaHoTl2,4.786333900000002
Sr3CdPtO6,-267.6354933
AlCrNi2,-20.232844
YP,-0.90649073
FeBr2,4.096122667
Na2S2O3,-338.41234
SiGe,-289.4396067
Tb2Tl,-14.038124
PdSe2,-37.113984
Nd3Al,3.0754363
P2Pd,-242.4261333
YBiPd2,-6.0553679670000005
Sn2Ir,4.546686533
KBeH3,-178.3933233
Yb(YS2)2,-192.9748367
PrSmMg2,4.1636315
Li4MnF8,-276.6311167
K2TcCl6,-321.66994
KSnAs,-135.41999330000002
Na4Ga3Si3ClO2,-98.584156
Li2B2Se5,-198.72904330000003
CrSiRu2,-35.76506699999999
VGaFe2,-15.07768433
Cr2NiSe4,7.53481273
NaCaAu2,-8.3747173
CdInPd2,-5.4343801
LiAcTe2,-184.06365
Cr2CoS4,-18.98279
Be2Ag,-0.54788877
Dy2Al3Si2,8.801199567000001
Ca(AlSe2)2,-257.9316233
ErZn,4.4242224000000006
NpAsS,-25.67499167
ZnCu2SnS4,-84.26316899999998
YAsO4,-127.1726967
H6CNF,-230.1383767
Mn3NiO8,-328.02164
ZnAg,0.88110011
NpSe,-24.14045567
GaAg,-3.8863773
VCu3Se4,-364.03228
HoAgPb,-29.46302033
Ti4ZnO9,-242.91316
AgWS4N,9.414772082999999
LiTmAu2,-3.4050672
NaDyS2,-254.16353
CdSb2Se3Br2,-142.1837733
K2SrTa2O7,-164.86685669999997
ScAg2,8.379585732999999
AsRh,-29.79902167
Na5OsO6,-37.648229
AgCNO,-380.5591
HfMgPd2,8.7740685
NdO,-3.395548467
Nd(SiPt)2,-6.5680046
Pb2Au,0.4285894
CrSiTe3,-248.95598
SrFeO3,-1.9402301
BaHg2Pb,4.5988039
Nb2Hg2O7,-69.204491
Hf3Rh5,-11.37976657
RhCl3,-410.4268167
AlCuF5,-17.78003733
NaPrHg2,5.6081114
CdBr2,-81.11424033
PrAl5Ni2,-0.367252203
Li2Cr(CoO3)2,8.618866667
MnH4(CO3)2,-353.84779
Na3Mg,-6.208892333
CeHfO4,-570.16409
ZrMoP,8.5592556
ScNi2,-15.26821
CuSiRh2,9.7095136
Li6WN4,-447.58524000000006
RbNa2AuO2,-301.4957467
KNa2Sb,-46.669165
