pretty_comp,p_powerfact
YCd,1246.185244
Sb4I2O5,995.0153493999999
TiFe2,268.2030481
Pd3Pb,1586.532623
Li2VSiCO7,402.65310930000004
Mo3Pd2N,112.1495374
Ti4ZnO9,480.5842121
K2TiCl6,2324.779168
DyNiC2,1171.48731
NdVO4,1299.6681130000004
Sc2AlCu,1361.3036869999999
SmO,382.62607460000004
AlF3,896.261851
TcIr3,340.4859938
Bi2SO2,4484.477478
Hg3(BO3)2,370.3995086
Sr3(GeAs2)2,978.5763993999999
Zr2Au,11.09519038
PaIr3,501.5629557
ScCo3B2,805.7880667000003
LiAsS2,2376.697265
Lu2TcPd,50.04455746
Ti4Cu3O2,1520.732046
Sm2Re2Si2C,314.9975027
Ni3Pb,264.7822815
LiTiNiO4,341.859668
Nb2Al,58.52516229
V2MoOs,1129.668815
InS,1357.952367
Ti2O3,330.2197398
Al2VCl8,54.82979899
AcZnAu2,382.745095
Na3PS3O,395.47506089999996
CdAuO2,1426.594008
UO3,2720.9408
Li5Cu3Sb2,167.24931999999995
ErSb,682.0842487000001
Li2PmIn,562.4872255
ZrCoSn,479.591614
Li2FeSiO5,194.34034330000003
NdTeF,2196.4770559999997
AgHO2,1153.486625
SNCl,836.8055706
NaBiF6,154.2284439
Ti2CrTe4,244.0828759
Li5NCl2,1110.4484
BaCu3O4,1181.707497
YSi,60.08333365
Li2PmSn,890.9866775
PtI3,450.08920870000003
K3Cu3As2,2062.493786
Ge3Bi2O9,891.7291232999999
DyPO4,1510.402128
Li3TaO4,1254.672151
SiPt2,499.9192307
DyAl7Au3,600.8721247000002
Rb2AgSbS4,502.3882995
Tm2AgPt,1396.537452
HfGeO4,1143.448179
RbBe2P3,144.06706090000003
Ba2YSbO6,2070.778867
Lu(MnGe)6,32.3368515
VRu3C,145.98365280000004
TmAs3,859.7511417999997
NaCaAs,1545.859108
DySb,718.7632456
Na3VPCO7,270.0807102
Al4Cu2O7,825.3743346
InCuPt2,157.83897130000003
TbPt2,127.7836581
Hf2Si,238.11669750000001
LiFe2F7,13.61629399
Sm2ZnGa,86.8282679
Cd4(B2O)3,689.3881585
Tm2AgIr,16.52662992
K6Fe2O5,139.5801646
InF3,320.5200898
VGaTc2,166.8469794
BaSr3,1237.526858
DyCo5,408.28532210000003
Na2TiO3,1188.917447
TiFeSn,784.1026548
Y2RuRh,998.9572267000001
SiB4,869.6204957999997
Li3VPCO7,271.5380066
Cd(GaTe2)2,2176.771107
YbBi2BrO4,1185.727202
LiYO2,1345.488703
Tb(BO2)3,1467.635455
Cr2Te3,57.44140361
Cr3Se,268.6959712
Rb3Cd,467.2952563999999
Ti2AlCu,218.62882909999996
Rb3Ag,583.7773217
SmTiGe,131.10693500000002
MnNi3,42.7509953
TmCo2,316.2661702000001
Ga2IrRh,25.6456827
PaGe3,209.5070979
SbCl5,576.2384772999999
Na2Ti3O7,275.1466095
HfSiTe,302.3586756
LaMgCd2,317.5608183
PrScSi,134.9288655
LuSiRu,1464.371862
