pretty_comp,kpoints_array_average
Yb2Nd2O5,5.666666666666668
Sr2ZrBe,7.666666666666668
RbAu5,14.333333333333336
KAuF4,3.6666666666666665
TbSiRu,12.0
BaBeCo2,16.0
HoBO3,4.666666666666667
YbTmHg2,19.0
Nd2Cu(GeO4)2,3.6666666666666665
Ba2PrRuO6,4.666666666666667
SbH3OF6,4.0
SrBe2Zn,12.666666666666664
ScBeSb4,19.0
MgAuO2,7.0
Ca3UO6,4.0
NaF,6.0
MnBeCr4,15.0
LiInTe2,5.666666666666668
TiCuSn,17.333333333333332
ScAlCO,12.0
BeFe2Se,12.0
ZnSeO3,4.0
NaNdS2,5.666666666666668
TlMo2Cl7O2,3.0
PrAs,21.33333333333333
Rb8PO3,5.0
Tm2IrPd,13.0
HfPbO3,6.0
BeRePb,11.0
NaAsSe2,10.0
Ba2AlInO5,4.666666666666667
Li5Mn2Co3,4.666666666666667
BaSnHg,15.0
LiSiAg2,7.333333333333332
YbSn,18.666666666666668
UAl4Co,7.666666666666668
Ba3SiO5,4.0
ZnCr2O4,6.0
La4BeTc,14.0
Fe3PtN,9.0
MnBeTe2,9.0
CaTe,17.0
CrWO4,6.0
Te3As2,13.0
Hf5Ge3,11.666666666666664
Na4BeZn,19.0
PaN,19.0
Mg2AgPt,24.0
KMoRu2,18.0
Sr3ScNiO6,5.0
LiV2F6,3.333333333333333
RbPbBr3,8.0
BaNa2Ge,11.0
Li6Zr2O7,4.0
Rb3AsSe6,4.0
Ca3PbN,6.0
Ba4CaV,6.0
RbMg3,17.0
TiGaRh,12.0
LiMnBe2,24.66666666666667
ErBi2BrO4,6.333333333333332
CaThRh2,16.0
MgBeSn,23.33333333333333
TiBiRh,19.0
YClO,6.0
DyYCd2,13.0
CaSeO3,4.0
LiSi2NiO6,4.666666666666667
Lu2MgSe4,6.0
Ca2InPd2,14.0
Tb2InPd2,13.666666666666664
MnAlCu2,10.0
Zr2Cd,13.666666666666664
BeGe4Pt,25.0
TbRh2,16.0
Ba4CaFe,11.0
SbTeClO3,3.333333333333333
NbPS,10.333333333333334
NaBeSn2,15.333333333333336
TiCu3,8.333333333333334
BeTcSe,23.0
Mn2B,8.666666666666666
Li5WNO4,5.0
NiSbSe,8.0
TmBiPd2,10.0
CeGa4Co9,5.333333333333333
Ga(IO3)3,2.6666666666666665
Nb2AsC,14.333333333333336
VFeO4,4.333333333333333
Sr(AlS2)2,3.0
Yb(Mo3S4)2,7.0
ScNbOs2,12.0
Li3Al2FeO6,3.333333333333333
LiTiPt2,14.0
Ba(MgBi)2,9.0
BaPAu,14.666666666666664
LiTmHg2,16.0
Nd5AgS8,5.0
Ba(SbRu2)2,11.0
Mn2BeIr,18.33333333333333
Ba4PdPb,10.0
HoAl3,15.0
NaBeBr,6.666666666666668
HfBe2Pt,23.66666666666667
ThBi2,13.333333333333336
Mn4OF6,4.0
ScClO,5.333333333333333
Ge4PbO9,3.6666666666666665
NaSO4,3.0
InI,6.0
AsRhW2,15.0
Rb3Ge4Au,6.333333333333332
Ba4ZrIr,9.0
HfB,20.0
ErB6,16.0
Ho3Ge4,13.0
Li4Ti3Cu3(TeO3)2,4.0
LiGaPdF6,5.666666666666668
ScBe2Te,11.333333333333336
Li5(FeO2)4,4.0
LiBeSi,18.0
ScC,26.0
ThCdHg2,19.0
Y2PdRu,14.0
CeAsPd,7.333333333333332
Fe5SiB2,6.333333333333332
Yb2AlSi2,17.333333333333332
K2BaMg,14.0
ZrSiS,13.666666666666664
TiIr,18.0
CrO2,19.33333333333333
ErCoSn2,15.333333333333336
MgGa,26.0
YSnO3,17.0
Yb(SiRh)2,12.0
BeSnAs,14.0
Be2PBr,19.0
CaZnSi,10.0
TlCuO2,5.0
Ba3SbAs,6.0
TlHg5Cl,3.6666666666666665
DyZn,17.0
TmSnRh2,10.0
MnGa2Co,10.0
CaFeF4,4.0
Ca2B5Os3,9.333333333333334
SmAlAg2,16.0
Mg(MnS2)2,4.333333333333333
TbAg2,15.666666666666664
NaLiSe,6.0
Ti3In3Rh2,18.0
AsI3,8.0
U2Cu4As5,8.666666666666666
NaAlO7,4.0
AgBiO3,7.0
Li4HfO4,4.666666666666667
HoMgTl2,21.0
SbO2,11.333333333333336
PrCoP,16.0
ZnP2(HO)4,4.0
Zr(PS3)2,4.666666666666667
RbNO3,3.6666666666666665
HfAl3,15.666666666666664
Yb2Sn2O7,6.0
MgV2O4,5.0
KNa2BO3,4.0
NbCrSe5,6.666666666666668
NiBrO,18.666666666666668
CaSn2O5,4.666666666666667
TiCdAu2,6.0
BiF5,4.333333333333333
Be2TeW,20.0
YErRu2,20.0
Be2PtPb,25.33333333333333
PdI2,4.666666666666667
CaIn2O4,5.0
Pr2PbSe4,5.0
Hf2CoIr,13.0
NaMgBO3,5.666666666666668
Sr6Li2Cr2N8O,3.333333333333333
Tm(CuGe)2,15.666666666666664
PrDyZn2,18.0
CuH4Pb2(ClO2)2,8.333333333333334
LiSi2BiO6,4.333333333333333
Ga2TeS2,5.333333333333333
LaBe2Cu,14.0
Li(NdSi)2,9.0
BeBPt2,9.333333333333334
AlVNi2,9.0
Eu3(AsPd)4,11.0
LiMnF6,4.666666666666667
RbSr3,7.666666666666668
CS4,4.0
LiCd2Hg,7.0
ZrZnAs,14.0
SbSI,5.333333333333333
Y2MgRu,18.0
Lu7(NiTe)2,9.666666666666666
Li4Mn7(OF2)2,3.333333333333333
Li2AgHg,16.0
SmGa2,21.0
Li2BeBi,18.666666666666668
Mn(GaS2)2,5.0
Ba2CuC(NO)2,18.666666666666668
BaTeBr,9.0
VBr2O,16.333333333333332
BPbO3,15.0
InAg(WO4)2,3.6666666666666665
GaSiAs,25.0
Be2InP,19.666666666666668
Dy2RuRh,22.0
Ca2Ru2O7,8.0
Be2TePt,13.333333333333336
Tl3Br,14.666666666666664
DyCd,19.0
YTaO4,4.0
Lu(HO)3,3.6666666666666665
Tm2ZnCu,14.0
Rb2U(Si2O)2,3.0
NpBi,8.0
VI2,6.666666666666668
Si3CCl8,2.333333333333333
TiOs,27.0
DyAgTe2,4.666666666666667
PaFe3,18.0
CaSiPt,12.333333333333336
NaMgF3,4.666666666666667
Na2TaBe,21.0
CaNiWO6,5.666666666666668
VFeRu2,14.0
LiTmPd2,21.0
Ca(BiO2)2,3.6666666666666665
Ba4NaP,8.0
LiCu3F7,5.0
Rb2Mg,12.666666666666664
Li2PmIn,10.0
Dy3PbC,15.0
Rb2SiS3,4.333333333333333
Ba2NaGa,12.0
Rb3Cr,7.0
Ba2TlZn,15.0
NaB(CO2)4,3.6666666666666665
HoRh3C,18.0
Dy3CuSiS7,4.666666666666667
CaTl3,23.0
BaLiSi,19.33333333333333
BN,9.666666666666666
Be2SiPt,16.666666666666668
GaSnRu2,7.333333333333332
Ba4LiHf,9.0
Li3Cu,21.66666666666667
Li7Cr5O2,4.0
BaCaCr4,9.0
Ca(SbO2)4,6.0
Li4Co2OF7,4.333333333333333
NaNi3,18.0
K2ZnH4,4.0
Np(Al2Fe)4,5.666666666666668
Tm3Th,11.0
Ba2Mn3AlO8,14.0
ErBRh3,10.0
BePPt,28.0
SrPdF4,4.0
BaCu2SnSe4,6.666666666666668
Sr2BeCo,11.0
UO2,6.666666666666668
KLaS2,15.0
BaLu2O4,4.666666666666667
K2SbAu,6.0
CeTiGe,7.333333333333332
Ca2InN,14.666666666666664
RbH2OF,3.0
RuN,15.0
Zn(FeO2)2,7.333333333333332
UPd3,5.0
KBeNb2,7.333333333333332
Ba2Hf7O6,3.333333333333333
LiAg2F4,4.0
Li8PO3,6.0
VGeRu2,10.0
LaNdZn2,10.0
MnCo2Ge,11.0
LiBiS2,14.666666666666664
SmInAu2,18.0
Tb2Ti2O7,5.0
NaLi3,12.0
LiDySe2,10.0
KNa3WO5,3.6666666666666665
KLiO,4.666666666666667
YMgCd2,17.0
RbH,6.0
CdPd,23.0
BaTlCuO4,12.0
Ba4MoRu,9.0
KCoCl3,9.0
BaTeSe,10.0
Li3V3CoO8,7.0
CaCrF5,5.333333333333333
MgBe2Bi,23.33333333333333
Ba(Si3N4)2,4.666666666666667
BaSn2Te,12.666666666666664
DyMoClO4,4.0
Ba2Hg,15.333333333333336
Li5Ti2V3,4.666666666666667
LiPd3,15.0
VPt,13.0
CdAs2,9.0
SiAs2,6.333333333333332
Li2WS4,4.333333333333333
VMo2As,14.0
PrSn3,22.0
K2Mn(SeO3)2,4.0
Li2Fe2SiO6,6.666666666666668
CaZn(SiO3)2,4.333333333333333
VF2,4.666666666666667
AlPt,19.0
HgNO2,4.0
BeB2,26.66666666666667
HoAs,14.0
ErInPd,20.33333333333333
BeZnFe,12.666666666666664
LiV6O7F5,5.333333333333333
Ba4OsW,14.0
Tb3Si2S8I,3.0
Mg(BeAs)2,9.0
In2Ni3S2,8.0
YCoF5,5.666666666666668
LaBAs,19.0
Al2BiS4,3.333333333333333
KBrF4,3.6666666666666665
TbZrSb,14.0
Al2Te3,3.6666666666666665
K2TeI6,3.6666666666666665
SrGeO3,5.0
Ca(PRh)2,10.0
GaAs,16.666666666666668
BeSbP2,25.0
PuAs,7.0
Li2FeCuO4,6.333333333333332
ErGeIr,9.333333333333334
IrCl3,6.0
HfInAu2,20.0
Rb2CoI4,8.0
BH9(CO)3,4.0
Ba4CaRu,12.0
Yb(CoSi)2,10.0
BeTcIr,27.0
NaLiFe2(Si2O)2,4.333333333333333
NaMgO3,10.0
TlSbO3,4.0
V3Ga,11.0
Li2V3CrO8,5.0
NaCaBe,13.333333333333336
TlPdF3,14.0
LaBO3,4.0
Tb5Ge3,9.666666666666666
BaAlCrCuO5,20.666666666666668
Nd2ScSi2,6.333333333333332
PaNi2Sb,16.0
Sr3(GeAs2)2,4.666666666666667
Fe6O5F7,4.0
BaSrW2,17.333333333333332
Ba4VMo,9.0
NbCo2Sn,11.0
Zr2SnC,23.33333333333333
BeSe,12.0
Nd2Be2SiO7,3.333333333333333
Ce2Ni,9.333333333333334
Ba4LaTa,7.0
Ti3Be,14.0
NaH3C2O5,3.333333333333333
BaMnF4,4.333333333333333
Ba4ScCd,7.0
BaLiTl,10.0
Tl2(IO3)3,3.333333333333333
BeNbBr2,18.666666666666668
TiBeTc2,19.666666666666668
SiO,9.0
BaTlSn2,11.0
YMnAs,8.0
LiCr(CoO3)2,13.0
Ge3Rh,23.66666666666667
BeZnSn,29.66666666666667
Na3InCl6,3.333333333333333
Sr2ScIrO6,5.666666666666668
Li2Cr2O7,2.333333333333333
Li3Ca,15.333333333333336
NaV2O5,6.666666666666668
Ca2FeP2(H4O)2,4.0
Lu2CoRu,14.0
Ba4ZnTe,10.0
NdSmO2,13.0
NpAsS,7.333333333333332
Ta2MoOs,20.0
ThSb,18.0
Al2Re,10.0
TiCo5O2,6.666666666666668
LiHS,5.333333333333333
YCrO4,5.0
Sc2AlOs,9.0
BeCoTc2,17.333333333333332
InPd3,16.0
K2BaBe,8.333333333333334
Y3GaC,8.0
PaO2,10.0
TiF4,4.0
BaV2P,10.333333333333334
Y(SiOs)2,15.666666666666664
K3GeS3,3.6666666666666665
LiBF4,4.0
PbS2,6.333333333333332
BaSi3SnO9,3.6666666666666665
Hf2Si,13.666666666666664
AgAuS2,9.333333333333334
V(HO)2,6.0
Sm(CrSi)2,9.0
Ca(CoO2)4,5.666666666666668
Ba3Nb2CoO9,5.333333333333333
TbAgPb,14.333333333333336
YbCuSi,16.333333333333332
YMnB4,7.0
LiCa2Mg,12.0
Ga2HgO4,7.0
Sb2Pt2O7,5.0
ErSiPd2,11.666666666666664
Sc2ZnGa,13.0
Fe3W3C,6.0
LiNd2Ir,18.0
Na4BeW,10.0
BaYCuTe3,5.666666666666668
K2TaF7,2.333333333333333
NaYbS2,19.0
Li6VCrP2(CO2)2,4.0
Hf23Se25,4.333333333333333
BeTlRu,17.0
BaNaSr2,10.666666666666666
Ca2YBiO5,4.666666666666667
Pr4S3NCl3,4.0
KNaO3,8.0
TaSnRu2,20.0
Ca2CdAg,7.0
HfBeNi,12.0
TbB6,16.0
Nd2C3,11.0
Ba2SbI,4.0
Ca(BH)2,9.333333333333334
Ti2MnBe,12.0
RbAgCl3,11.0
Ba4TiTl,8.0
CaZn2(PO)2,15.333333333333336
