pretty_comp,kpoint_length_unit
Rb2Zr2O5,50
TaIn3O7,60
AsIrPt2,85
WOF4,50
SeOF2,50
ZrCl,55
Ba4ScV,70
Nd3Tl,110
BeSbMo,100
Fe(BW)2,75
Sc7Cl2,50
NbAlOs2,60
Al4CO,85
Co(NiS2)2,60
Ba4GaCl,80
TiAsPd2,65
SnTe3,130
TiFeSe,50
ZrBe2Pd,55
TlCd(NO2)3,60
Ho(SiRu)2,90
CaAu5,95
Bi4Te7Pb,70
TaCu3Se4,60
Be2ZnCd,100
Ca4As2O,60
Mg2CoAs,95
LiAl2FeO6,55
BaCoNi2,50
Yb2ZnPb,90
MgCoF4,50
Ba2SrI6,55
Be2PBr,100
Mn2FeO3,60
ZnB2(CN)8,50
DyGaPd,115
NaBe2Se,100
Li2TiNiO4,55
KBeTc,70
Na2BeBi,75
Dy(AlSi)2,135
Ca3PbN,60
Mg3Fe2O7,55
Te3As2,75
Li2TiCo3O8,50
CdGaRh2,60
Li2HgBi,70
BeReNi,105
Hf2Al3C4,105
UNi2,60
Ti2CoSi,60
As2SO6,50
ThOs2,100
BeFeSe,50
Ti3AlC2,85
Sc2CdIn,65
Zr2Co2P7,55
V2P2O7,70
TiOs3,110
BaSi2Rh,85
Mo2W(Se2S)2,55
ScAsP,75
KBe2Co,60
SiTc3,105
YbF3,55
V6O7F5,60
P2Pb3O8,45
TmAl4Ni,95
NdPIr,80
KNb2Se,90
MnFeTe,60
H4N2O3,50
Hf2Ag,95
TiBeCo2,50
TmMnGe,60
Ca3FeRhO6,45
Rb2CdO2,55
TbInAu,130
Zr3GeO8,50
TaCoSb,65
TaFeSb,65
NaLiHg2,90
FeAs4F8,45
Zn2SbWO6,60
ScPd3,120
MgO6,55
Cd(GaS2)2,50
TlSbSe2,65
Mg2SiO4,50
SbKr3F,45
Li2PbO3,50
Li5MnNi4,55
KRbO,50
VSbRh,60
MnSnRh2,60
Rh3Se8,75
LaYBe2,95
Zn3C,140
Sn(WO4)2,45
USb,60
LiCu2Pd,55
BaZn5,115
SnPt3C,85
Be2NiRu,115
Mg2BBrN2,50
Er2IrRh,75
Yb2HgPb,100
CrSe,85
Ba4GaPt,85
BeC2,50
Ca3(PO4)2,50
In5AgSe8,65
TlPPd5,95
Li4Ti2V3Cr3O6,45
BeSO4,40
Ba(BiO2)4,70
RbAuBr4,50
Li4Ca(BO3)2,45
NaBeSi2,110
Pr3InC,100
UNCl,55
KTmI3,105
NaN3,45
BeGaOs2,90
TmSb,60
K2ErF5,50
HfTc2W,65
TmZrSb,80
Na2TiF6,50
Ba4CoW,75
DyCuSn,65
Yb2PdRh,105
NiBi,110
UAl2Pd5,95
UN,50
NdBiAu2,85
BeGa2Co,75
CaZnSi,60
Nb2Tl4S,55
Pm2GaAg,85
NdFe5,75
MgSnP2,60
Mn2NiO4,55
ZrBe2Pd,75
Rb2Mn(PS3)2,50
CeB2Ir2C,90
Ho2SnAu2,130
NaCuO,50
Al5Mo,90
Ca(As2Rh3)2,70
HgO2,45
TmTc2W,75
Sr3Sb2,65
Be2WBr,100
MnSbSe2I,80
Cl2O,45
MnGaNi2,85
K2Rh2O5,70
Mg3TeO6,50
Ag6Mo2ClO7F3,50
Zn2NiWO6,60
Al3Bi5Br2,55
Cd(RhO2)2,45
NaCSN,45
LiMgAs,55
Ba4ZnTc,65
KRb2NiF6,45
U(AlC)3,65
Ca2AlBiO5,45
MnBeRh2,60
BeTlGa4,140
BeGaP2,165
Ba4MoW,75
Si3As4,60
UGa3,75
BaCaZn,90
CaBe2Cr,60
RbNaO,50
SrCl2,45
Nd2Th2O7,55
TbBi2BrO4,55
ScRh2Pb,90
Sr2YIrO6,55
KTl2In,100
CaZrSi2O7,45
MgBeFe2,75
Ba3YbRu2O9,55
SnN,100
PbC2(SN)2,50
MgSc2Al,90
SnO,100
SrF2,40
TiBrO,105
Na3Hg,105
Be2SiP,130
Nb2AlC,110
Y2MgRu,100
Ba(NdS2)2,60
Rb3GePSe7,55
Li2Ti3O7,50
Rb2Ti(SiO3)3,50
Ta2I5,55
Sr3(InP2)2,75
NdBRh3,95
Yb2AgRh,85
PrMgTl2,105
ZnPPt5,95
Hf3ZnN,70
CaNiWO6,55
TcAsIr2,90
