pretty_comp,magmom_oszicar
ZnPd5Se,0.0
HoTaO4,0.0
SrBr3,0.0
BeHgPd,-0.0
Al2Se3,-0.0
Li2AlPCO7,0.0
RbHO,-0.0
Rb2UBr6,2.0
Na2BeCu,0.0
Zr2TiAl,1.7408
Er3AlC,0.0
SmBi3,0.0
Sr3P4,-0.0
Zr2MnBe,0.0
ScGa3,0.0
Na2VPCO7,4.0
LiInHg2,0.0
K4TaBe,4.4371
VBr2,3.0
Li3NbS4,0.0
TbMgAu2,0.0
K2CuH4(Cl2O)2,1.994
Ba4GeRh,-0.0
NbAsOs2,-0.0
NaMnAs,3.5831
BeZn2Re,0.0
HfBeP,-0.0
LiBeRe,-0.0
LuAlPd,-0.0
Dy(FeGe)2,0.6044
Zn2CuAs,0.0
TiPt8,-0.0
BaVSi2,1.804
RbSO2F,-0.0
Pm2TlCd,0.0
LiAlPt2,0.0
BaBrCl4,0.8059999999999999
Mg3Mo,0.0
Ba4MgMo,-0.0
Sr2PdAu,0.0
Sm2CdIr,0.0
BeCoGe2,0.0
Ba2MnTl,4.1189
CoAsPt2,1.6471
Ba4YV,0.0
BeTcP,0.0
As3W,-0.0
HfZnNi2,-0.0
SbIr,-0.0
Sb2TeSe2,-0.0
InCuO3,-0.0
FeCu2SiSe4,3.9245
MgMnF5,8.0
DyThTc2,-0.0
Na3NiF6,2.0
Rb(MoS)3,-0.0
Rb2Li2GeO4,-0.0
NaSi2BH2O7,-0.0
TbBi2BrO4,0.0
UAlRh,6.1359
BaMgNi2,-0.0
LiC6,-0.0
LiZn3,-0.0
ScBe2Bi,-0.0
Bi4Te7Pb,-0.0
B4CCl6O,0.0
Sc2BeRe,0.0
K3AsSe4,0.0
ThBi2,-0.0
LuSb,-0.0
Mn2BeCu,0.0003
VCu3S4,0.0
NiBiB,0.0
BeFe2Cl,2.3537
KSi2Hg,-0.0
Rb(TeMo)3,-0.0
Ba4LiV,-0.0
TiAl2,-0.0
Sr2YTi2TlO7,-0.0
Si2N2O,0.0
PrTe2,0.0
TmSi3,0.0
Ta(TeCl3)2,0.0
HfCuSi2,0.0
TiGaRh2,-0.0
BeGa2Co,0.0
Ba4LiP,0.0
YbYRh2,0.0
Ba4BeCd,0.0
ZnP2(HO)4,0.0
KSnS2,0.0
Zn3N2,-0.0
Na4Sr(SiO3)3,-0.0
ScBIr3,0.0
K5Dy3I2,-0.0
BCl3,0.0
Be2VSn,-0.0
TmMg3,0.0
Ba3Er,-0.0
Rb2Yb2O5,4.0
PrMgTl2,0.0
TiCo2,-0.0
CePb3,0.8807
Sr(BiO2)2,0.0
K2NClO3,0.0
KBe2Pt,0.0
Nd(CoB)4,0.0
Rb6Cl4O,0.0
BaNaIn,0.0
Rb2GeS3,0.0
Ca(MnAs)2,5.0472
Ba4HfTc,0.0
SmMg2Sc,-0.0
TcAsCl,2.8271
KY2Ti2S2O5,0.9169
Li3MnF6,4.0
Li4B2O5,-0.0
Na2AgAs,0.0
Na2Ca2(CO3)3,-0.0
In2CoS4,5.9912
SmZnAu2,0.0
Ba2TlV,3.8972
BaCuReO5,0.0
NdMg,0.0
SrMn2Si,7.8806
LiCaBe2,0.0
Ca2Ag2O5,-0.0
LuCd3,-0.0
Sc2AgAu,-0.0
Ba4CoSn,1.3204
PmMgCd2,0.0
Ba3Cu2(ClO2)2,3.8517
Li2Fe2CoO6,2.995
BaScSe4,-0.0
Ba4YCo,1.7612
Pr2Co7B3,6.8168
Be2CdSn,-0.0
MgH8(ClO)2,0.0
BeV2Hg,0.0
TiBeFe2,1.6166
HS7N,-0.0
NbCoO4,0.0
NdMgAg2,0.0
Zr(TiH2)2,0.0
Na(OsO3)2,0.0
TiAs,0.0
Ba3Nb2CoO9,3.0
Ti3O5,3.2909
NdSn2,-0.0
Li4MnV3O8,9.8474
YSi2,-0.0
TiSiOs2,-0.0
NpGa3,3.8875
Be2NiBr,-0.0
CaMo2O5,-0.0
SnH8(NCl3)2,-0.0
RhN3,0.0
U3(SiC)2,4.8685
RbTi5Se8,-0.0
MgAs,-0.0
Bi(BO2)3,-0.0
Sr4As2O,0.0
BeCo4Hg,5.7934
Li4CO4,-0.0
Li3H4Rh,-0.0
YBeZn2,0.0
Mg2CoO4,9.7904
LuSiRu,0.0
Y(Al2Cr)4,0.0
NdB6,-0.0
ErSe2,0.0
Ba4NbSe,3.4431
LaAl2,-0.0
Al3Os2,0.0
NdSiAg,0.0
TlCoMo2,0.3807
SrNi2(PH2)2,4.0
Ba4BiP,0.0
LiLu2Ga,-0.0
PrBPt3,-0.0
LiRhF6,1.9993
Li2Ca,0.0
Li2VSiO4,6.0
B2Mo2Os,-0.0
TmSnAu,-0.0
Ag2MoO4,0.0
MgNi3,1.0243
KP2AuS7,0.0
MnI2,5.0
Li2TiF6,0.0
ScGaCu2,-0.0
Na2Ti2O5,-0.0
Be2SeCl,0.0
Na3TlO2,0.0
HgS,0.0
NbSbO4,-0.0
NaBe2Pb,0.0
Li6CuF8,1.0
Li3TaO4,-0.0
BeCdSe2,0.0
RbCdF3,0.0
LiNbRu2,-0.0
InNi2,0.0
SrTe3O8,-0.0
Be2TcPt,0.0
UC2,0.0
LiCa2Mg,0.0
Li2MnCoO4,2.0006
TiZn2,4.6960000000000015
U(BO3)2,0.0
UBiSb,4.1573
NbSbRh,0.0301
BaIn2Sb,-0.0
CeZn2Ag,0.6026
Li4VTe3O2,1.0
Ba(CoO2)4,5.8682
NbCd3,0.0
SnSe2,0.0
Ba4ScIr,2.1456
CaSn,-0.0
Ba4GaSn,-0.0
SmBeO3,0.9094
Ba3CaI8,0.0
VZn2P2O9,2.0
TbCrB4,0.0
Be2IrPd,0.0
LiV3O4,1.942
KAuO2,0.0
Li3In,-0.0
Ba4VIr,0.6487
RbCeS2,0.988
TbPPt,-0.0
Ba4BeFe,0.5287
KPrSiSe4,-0.0
TbReB4,-0.0
Li4Nb3Fe3(SbO3)2,9.0102
Li(CO)2,0.0
ZrMnTlF7,10.0
Tm2SeO2,0.0
Be2InTe,-0.0
BeVFe2,0.7202
Li4NpO5,1.0
MnBe2Si,0.3085
RbCr4O8,9.0
Rb2FeI4,8.0
TmMg2,0.0
LaNdZn2,0.0
Y2BeBi,-0.0
Sc3BPb,-0.0
LiTi2As,2.4682
SnRh,-0.0
Sc2AlOs,-0.0
Sc6NiTe2,0.0
SmTl(MoO4)2,-0.0
NdAgSn,-0.0
LiGaS2,-0.0
ReW2Br,0.0
Ba4ScBe,1.8597
BaAu5,0.0
NiAsRh,-0.0
H4CN5Cl,-0.0
LaCuSO,-0.0
AcH2,0.0
Mg2Ni3O8,-0.0
BeCdSn2,0.0
BeSi2Ru,0.0
LiPd2Pb,-0.0
Ta2H,-0.0
Bi3BrO4,0.0
LuB4Os,-0.0
BeV2Cd,0.0001
V4OF,7.0
K3Y,0.6761
Ba4NaW,0.0
BeFeW2,-0.0
BeNb2Sn,0.0
Sc2TcHg,-0.0
BaBeSiO4,0.0
Ni2O3,0.0002
NaV2O5,1.7934
Pt(SCl3)2,0.0
SmMg,0.0
SrSbSe2F,0.0
HfBeSb2,0.0
Be2HgTe,0.0
LiMg2Be,0.0
PrOs2,0.0
TiBe2Cr,0.0
Yb3PbO,0.0
Lu2MgIn,-0.0
PrTlCd,-0.0
CaSn(GeO3)2,0.0
KCuF3,0.0
BaMn2Cu,7.3577
Ba2NdNbO6,-0.0
ZnRh3,-0.0
Ho2SeO2,0.0
ZnBiF6,-0.0
CeGe2,1.3358
TiBi2O5,-0.0
Ba(CuAs)2,-0.0
Li6CuO4,1.9969999999999999
LiCoAs,-0.0
LuPPt,-0.0
LiNbFeO4,-0.0
MnCN2,4.9773
Li2BiAu,0.0
TiPRu,0.0
MnSbPd2,4.2665
Tl3SbS4,-0.0
Ca3AsN,0.0
Ga3Ni5,0.0
LiTi3O6,0.8229
UP2,2.7288
ZrTiF6,1.9996
YCu3(Sb2O)2,-0.0
Sr2TlCuO5,-0.0
CuHOF,3.7676
Ga3Os,0.0
HoAg2,0.0
Ba3GeO5,-0.0
Ba4YRe,-0.0
TiFeSi,0.0001
Mn2CoIr,9.9338
SbSI,0.0
Na2PtS2,-0.0
NaSr2In,-0.0
TiMnO4,3.0
BaCrO3,7.9978
NaNiIO6,0.0
Zn2RhAu,-0.0
BaYAgSe3,-0.0
Ti3O2,0.0
Dy2TeO2,0.0
LiCaGaN2,0.0
Li5CrO5,1.0
Al2ZnS4,-0.0
Cr2GaC,-0.0
Li4NbTe3O2,0.0
NbGaRu2,0.0
HfBe2Pt,-0.0
In2TeO6,0.0
Ag3Sb,-0.0
Li3BN2,-0.0
Be2SiBi,0.0
Tm2InOs,0.0
YbBiPd,-0.0
Sb2Pt,0.0
ErBiPt,-0.0
BaHgBr,-0.0
CeInPd,1.5033
Nd(CrSi)2,0.0
Al4Cu2O7,0.3391
HoCoC,0.2576
LiCuBO3,1.9239
SrGe2,-0.0
Mg3Al,-0.0
Fe2As,6.5009
HgBiPb2,0.0
Ba2TlCd,0.0
Ho2NiAs2,-0.0
YbPO4,1.9133
Na2Au,-0.0
MgB9N,-0.0
Mg3ZnO4,-0.0
Ti2MnAl,0.0
LuBPd3,-0.0
BaRuPt2,-0.0
Tm(SiPt)2,-0.0
Ba2AlCo3O8,3.3962
BeReW,0.0
LiZn2Au,0.0
MnBe2Rh,2.8937
AlN,0.0
U2SnPd2,9.2877
InAgSe2,0.0
Hg2P2S7,-0.0
KBe2Te,-0.0
Be2CrCu,-0.0
TeW2Se3,0.0
LiPt3,-0.0
LuInNi2,0.0
ZrSbRu2,0.0
Li2AgF3,0.0
WSe2,0.0
Na5CoSO2,2.0
CaTeO4,0.0
Be2CrMo,-0.0
Ba4TlIr,-0.0
DyNiBi,0.0
YbSe,0.0
Tm3Al2,-0.0
Be2SbPb,0.0
LiTiO2,-0.0
Sr3Ge2(BO)6,0.0
UAl2Cu,2.6073
YbB2Ru3,-0.0
Y2GaHg,-0.0
LiSiBiO4,-0.0
Cd4(B2O)3,-0.0
Ba4TcSn,0.0
U3Pa,3.5231
BaTiTe2,1.9905
Dy5SbAu2,0.0
Be2ZnGa,-0.0
CeIn5Rh,0.7534
BaSi,0.0
SrBe2Cd,0.0
ZrInRh2,0.0
La(Fe2P)2,0.0
Cu3(Ni2O)2,0.0
HoMoClO4,-0.0
Li3Co(OF)2,0.0
Yb(ErS2)2,-0.0
MgBeTl2,-0.0
Sr(CuAs)2,0.0
BeMo2Ru,-0.0
YbIn2Ni,0.0
BeBiPb,-0.0
NaDySe2,0.0
Na2TaBe,0.0
GaSe,-0.0
TeO3,0.0
V3Zn2O8,2.9748
