pretty_comp,max_mode
Li2MnBr4,299.415773
CeSiI,378.263584
Ba2RuO4,532.7113929999998
SrHg,89.004784
VGaFe2,315.532034
TbAgTe2,148.931148
LiTl2InCl6,297.4519180000001
PmSbPd2,144.66941200000005
CdAsRu,190.69298500000002
MgBe2Pd,450.397103
LiCuAu2,395.178929
CaF2,392.80123100000003
TiFeTe,294.563463
ThCN,1873.1632120000002
V3Sb,265.20837400000005
BaCo2Sb,193.049083
Pu2O3,505.589557
Ta2MnAs,173.437243
SrBe2Zn,301.706365
NdSn2,153.721533
Hg2GeSe4,271.04035899999997
HoSnPt,171.290995
SbPd,182.770005
Mn4ZnO8,584.746286
TaGeAs,173.426288
CeN,326.861669
Nd(SiPt)2,383.460733
TmMg,216.61365299999997
BaCuAs,166.068178
SbAsO4,838.600075
TiCoAs,294.406659
TiBeSe2,287.67605299999997
TiFeCoGe,292.965554
Nb2C,604.484217
CaSi2,393.77493599999997
Sr2FeBrO3,546.6532980000002
Cr3S4,317.541196
DyN,433.772261
NaMnBe2,474.426615
K2AgBi,162.075717
RbF3,171.163428
MnBe2Os,463.812026
ZnCo3C,626.591398
UZn3,192.662873
TmAlSi,346.828862
NbGaPt,226.25190800000001
KAuF6,622.008457
K4HgP2,342.271777
MgWO4,888.59743
DySbPd,162.519398
Ho(FeGe)2,313.223496
AsRu2Cl,212.002433
K4SnSb2F4,532.708754
PmH3,1188.954932
ZrIr,143.18840500000005
YbBiPt,119.316248
TbZr,112.590543
NdY3,127.476339
RuI,201.752242
KAgO,525.2443400000002
BaTiCd,118.69058799999999
TmZr,119.49948
MoCl3,356.911741
Te4Mo2WSe2,321.497483
YGa2,268.898483
Sr3BiAs,197.915551
U3Cl,232.490029
BeMo2Br,460.457076
ZnSbO3,604.8742599999998
Ni3Pt,249.45376000000002
InAgTe2,161.629119
CaMoF6,628.115703
ScHg,136.628498
CeSe,130.734445
BeRh2Cl,273.899018
DyAlAg2,195.88174899999999
BeZnCr2,399.214493
BeSiCl,452.49822800000004
GeF4,734.643249
Fe2AsSe,154.584769
TlAgI2,127.98612299999999
CaTiF4,348.76550499999996
CdO,377.949259
MnTePd,160.32138799999996
PrSm3,94.849257
KGeBr3,126.46282099999999
HfS2,327.212508
ErTaOs2,208.40033300000002
Ti2Cu,280.831326
ErSCl,313.271183
LiBC,1167.606814
CaTaBe,454.400968
ScGaPd2,246.594246
Tl2InGaF6,500.746887
Cd(HO)2,3677.064422
UGa5Ni,230.78363399999998
Rb2PtS2,337.768081
P3Rh,467.05889800000006
InNi2,238.60597400000003
KClO3,874.723731
ZnCrF6,674.8425070000002
CrAuS2,406.17472999999995
RbZnH2Se2ClO6,2892.2485699999997
AlF3,770.405326
Ca2CoO3,601.885944
CrP2,484.863956
Ca2Mn3O8,613.797655
MnO,336.6190890000001
Ba3SbP,166.74626
KLiSe,366.121969
NbAlO4,937.302856
SmSb2Au,144.968637
Ba3In2O6,595.968549
VFeSe,286.646759
Rb3PdF5,530.781826
ZrSi,387.67762
ZrNiP,369.510418
ScTlS2,356.220761
Li2PtF6,608.897258
DyZnRh2,174.827247
YbSbPd,147.593244
SmPd,135.41288400000002
Na2SiO3,1069.703884
BaPbBr,79.54185799999998
CePRuO,422.260641
CoSnF6,534.562506
NdHf,82.958901
Ba2DyNbO6,795.5804360000003
Tm(CoSi)2,420.90965300000005
ZrGa2,234.62653799999998
SmC2,1672.719461
YInCu2,188.727746
