pretty_comp,min_mode
Ta2MnAs,-36.335175
Ca3MnO4,-0.46288100000000004
MoW2(Se2S)2,-0.138877
BeFeRh2,-0.233262
VH2,-0.275992
Nd3GaN,-199.33395900000002
BeTcHg,-0.125879
Sr7(HBr)2,-0.038212
NaSrBO3,-0.06638200000000001
Ba3Bi2,-47.40664
HoTmCu2,-0.022754
DyBr3,-35.854709
MnSn,-65.017237
UAl2,-20.587999
Be2NbRh,-0.186945
NdMgO3,-68.586754
CaPd3O4,-0.032975
ThSe,-0.0103
TaBeSn,-0.389737
AgPbBrO,-11.62403
Ti6Si2B,-0.080193
TaBeBr,-0.695435
Ca2Cr2O5,-0.045579
Sc2Co,-0.05549
NdMg3,-0.167324
ZnCo3C,-0.11572
TbAlAg2,-0.067722
Mg2TiBe,-2.2665040000000003
CaBeIr2,-0.014403000000000001
CrCuO2,-0.321205
CdCl2,-0.075421
SrAgSb,-36.780794
TiMn2V,-0.21056100000000005
Pr(FeSi)2,-0.14898599999999998
Co(NiSe2)2,-0.306909
Lu(HO)3,-0.17411400000000002
K3Ag3As2,-0.09425599999999999
ErVO4,-0.264619
AgPbO2,-0.173792
YNi,-0.28879
ErBiPt,-0.072046
K2B2Se7,-0.096759
PmAgHg2,-0.011087
Sb2Rh,-0.036675
RbCuCl3,-44.722938
Te7Mo8S9,-0.050065
BaCrBr2,-82.432802
NiSb,-0.184514
MnBe2Cd,-0.282681
LuCl3,-58.209824
K2SbAu,-0.101536
BeVFe,-0.678185
MnBe2Ga,-0.31754
Hf2Ag3F4,-45.54176
YbGa4,-29.767213
LuVO4,-0.512862
HfRh3,-0.010703
IClO3,-450.613394
Ba2As,-19.868693
Li4Ca3(SiN3)2,-0.031775
BaNiO3,-0.161314
KPAuSe3,-16.863181
Fe2AsSe,-130.545567
SbRhO4,-57.908846999999994
MnFeTe,-0.10444300000000001
ScAu,-0.033442
LiHF2,-0.383825
BaCuSeF,-0.184577
CeSb,-0.042433
K2HBrO,-0.12498499999999994
ZrTiSe4,-35.39420900000001
BeInP,-1.200818
ThAl2,-0.018912
Al2FeNi,-0.10105399999999999
Ca(CdAs)2,-0.081912
BiTeIO3,-0.118663
UTlO3,-0.028674
NaAlTe2,-0.802872
NaBeTc2,-0.25230199999999997
Mn2AsSe,-122.297858
InNi2,-66.77187099999999
Ba2TbNbO6,-0.206006
K2ReBr6,-13.22967
