pretty_comp,optb88vdw_bandgap
Be2BiMo,0.0
LiCo2Ge,0.0
Th(AlC)4,0.0
Nb2Co3Si,0.0
Si2N2O,4.6249
Pm2ZnRu,0.0
Be2SbPt,0.0
Sc2MnSn,0.0
SmInAg2,0.0
Ba4MgIn,0.0
YbPPt,0.0
TbCl2F,4.8895
CaCuSb,0.0
RbSbS2,1.9489
Li3V2Cr2O8,0.0
HfBe2Ir,0.0
FeSiGe,0.3451
VH,0.0
UGa5Co,0.0
Nb3Fe,0.0
RbAlO3,0.0
Sm5Co2,0.0
Sc(MnAl2)4,0.0
Li3BiO4,1.4123
U(SiAu)2,0.0
LiTiBe2,0.0
Ag2F,0.0
KSiTc2,0.0
ScIr,0.0
BeReBi2,0.0
TmTiGe,0.0
MnCoSb,0.0
CaMgNi4,0.0
Si3P,0.0
Pm2SiPd,0.0
KAg2AsO4,0.2487
H3BrO,4.4683
Sm(SiRh)2,0.0
LiCaAu2,0.0
Li2TlPt,0.0
BaGa4,0.0
BaCuBi,0.0
NbInRu2,0.0
PdSeO4,1.2927
Yb3SiO,0.0
ErAlAg2,0.0
KInTe2,1.1146
ScGe2,0.0
Co(MoS2)2,0.0
NaBe2Ge,0.0
Be2ZnPb,0.0
TmThTc2,0.0
SbAsRu,0.0
Mn2BeGe,0.0
CuAu3,0.0
Fe3Si,0.0
Ba4YSe,0.0
Ti2RePt,0.0
Na3VO3,0.0
Rb2NaTlF6,3.6825
SmSnAu,0.0
LiInGe,0.0
Ba2InBrO3,2.0435
HoGeRu,0.0
Na2BeIr,0.0
KBaV,0.0
BeSb2Br,0.0
Zr2Co2P7,0.0
NdCdAu2,0.0
Dy2AgOs,0.0
TiAs,0.0
PrI2,0.0
Np2InNi2,0.0
ErBi2IO4,1.5568
ScAlCo2,0.0
Mg4As6Ir7,0.0
ScCl,0.0
Sr2CdIn,0.0
YCrF5,0.0
HoBr3,2.5614
MgScGa,0.0
KTiS2,0.0
H2CSO4,6.2529
Na7NbO6,3.0174
GeSb,0.0
CeIr5,0.0
Si3MoPt2,0.0
MgSiO3,2.9213
ThBr4,3.16
BeHgTe2,0.0
SiS2,2.7267
Yb2SiO5,0.0524
CrGe,0.0
Ta2O5,3.1766
SiB,0.0
Rh3Se8,0.0
TbSb,0.0
LuInAu2,0.0
Li2TiNi2O5,0.0
BeInPb2,0.0
Be2VRe,0.0
YHgPd2,0.0
RbSb2,0.385
Sc4TaBe,0.0
FeTc2Cl,0.0
Bi(BO2)3,3.9729
PmCu2Sn,0.0
AsOs2Cl,0.0
CaAsAu,0.0
KCeS2,0.0
FeAgO2,0.0
SrSiO3,3.0362
Dy2IrRu,0.0
KYb2F7,0.1387
SrBeSi4,0.0
Hf3ZnN,0.0
Li3BN2,3.784
Be2CrHg,0.0
GaGeRu2,0.0
Pr(Al2Fe)4,0.0
Ti(FeO2)4,0.0
BaHf4Cu,0.0
Ba2HfTe,0.0
TbCuSi,0.0
PrAl3Ni2,0.0
BaNa2Pd,0.0
NdIn3,0.0
TiMn(PO4)2,0.4802
SrTaBe,0.0
BaSrPb,0.3243
Sm3PbC,0.0
Ba2YB2ClO6,4.2049
CeCdAsO,0.0
CaMo2O5,0.2993
LiBePd,0.0
Yb(As2Rh3)2,0.0
TaBeNb,0.0
K(Cu2As)2,0.0
VZnO3,0.0
TlHg5Cl,2.5502
Ce(Mo3S4)2,0.3367
LiCeSn2,0.0
LuCdHg2,0.0
Rb2P3,0.74
Zr2NiAs2,0.0
GeF2,4.299
NaSnPd2,0.0
YZnGe,0.0
Ba3(PO4)2,5.3778
YTmO3,4.958
