pretty_comp,p_Seebeck
Ca(CdSb)2,157.23233000000005
Al2NiO4,31.28810267
TlS,10.157182
Ti6O,2.2758753
TbPd3,-0.014150965
Li2U3P2O5,404.3612533
Th(CrSi)2,2.0880693
Ca(GaO2)2,453.7571
ErVB4,10.44419633
CaGeN2,250.90195330000003
Na2Ti2O5,312.6693
MnZnO3,-2.0634966
SnBr4,402.64007
HfGa5Co,2.369413353
NaIn3,0.51639757
AgN3,213.6435333
Pm2SiNi,15.401135
TiMn2,5.965344067
ScAsO3,13.610663
NaCo3,18.31760833
LuBi2BrO4,273.7864467
Li2VCrO4,7.103638367
Ti2Zn,8.473274
U(Al2Fe)4,20.78355067
YCuS2,293.0771367
Ce(MgSi)2,60.11689867
P3Rh,9.851669367000001
Ce(SiAg)2,59.57564
PdSO4,432.0968367
CeOs2,23.080874
Rb4Br2O,283.03886
LiTlPd2,-2.860144633
Ca(InTe2)2,301.5870433
PrCuO2,476.1831767
NaPmHg2,2.0434062
MgO,367.97246
Ti(GeO3)2,332.41743
PrAl7Au3,14.9986085
KYbO2,27.20426767
Nb2Tl2O7,100.1529067
Li4NbTe3O2,14.076530599999998
ZrRu3,3.5528532
SmTmHg2,18.491993
Hf2Ga3,9.424577506
TiGa5Ni,14.78452433
MnCN2,116.154513
V3(PO4)2,412.28822
RbMnTe2,8.254915067
BaZnCr4O8,23.9624315
LiAl2Ir,-0.188548823
NaNb6O5F,335.3762933000001
Y6Os,24.876132
K2NiP2,221.0052997
AlBN2,360.11493
TlBiSe2,203.4595167
LiYHg2,9.0432375
Sc2AlOs,10.213279
Rb3InS3,409.0883567
HfMoP,16.56920833
MnCuAs,-1.985078733
CoAs3,58.580174
Sn(HgSe2)2,259.14314
Li4TiTe3O2,342.5890167
SrGaSnH,115.7003433
ScB2,-9.4068748
Pr4Bi3,-0.174068757
LiErIn2,-6.0189905
MnAsRh,13.55574043
Be2B,7.682415633
NaTaNi,-5.6300597
HoInCo4,22.758065
Rb2SnBr6,362.00442
Ca2Sb,22.90016367
Y4C7,55.07317033
PmSbPd2,-6.0856801
Ag2HgI4,337.97308
RbCa2Nb3,413.5105333
Mg3Ti2O7,357.4657167
CrBO3,457.4743867
Rb6AlSb3,233.5065867
CeP,26.766163
LaCuO2,508.8770633
TbYHg2,21.510101
NaAg2,-1.893826533
Ba2YBr7,360.7164733
ZnFeO3,22.79184803
BaNb4O6,5.156818867
NbTeI3,273.5965733
K2P2Pd,322.5540767
As4S5,324.8060333
BaSiP4(HO2)2,399.9088
Na3MnPCO7,307.2008033
LiGePd2,-8.0923801
NaMg4As3O2,483.56613330000016
Na2LiAlH6,294.48758
UGePt,13.79205533
Sr(SbRu2)2,26.19306567
MnAlPt2,-3.776524567
HfSiS,3.351894
LuZn,5.2893447
Li2ZrTeO6,454.43208
LiCo2Si,7.7926204
BiOF,404.23465330000016
ZnHg3,-8.202996933
Li2SnGe,20.87021567
HOF,544.3508732999999
Li2MgBr4,416.6632467
CeFe2,37.449153
Sm5Co2,5.13816172
YZn,6.9055853
BH3OF4,488.5273167
PPdS,351.8696233
SmB2Ru3,-5.447361233
U(PS3)2,20.48553833
Ba2CaOsO6,5.047395
Dy5AgS8,279.6418767
Al2ZnTe4,319.30666
DyB2,-4.499335067
MgCrSiO5,51.0705
Sr(P3Pt2)2,251.0170467
BaDy2PdO5,420.95851
Ba2TlZn,20.69165
KReO3,-1.5688095
Mg(TiS2)4,-6.695501632999999
Nd(MnGe)2,21.44858067
CaSnS3,18.36156
TiNCl,108.5231633
Rb3Sm,16.02134
Li3(CoS2)4,128.97437
TcSO6F,407.6563667
Sm2AlZn,3.0122083
Ta2Mn2O7,377.46261
Er2AgRu,-3.4552474
Cd4(B2O)3,467.06243
ScZn2,17.47994567
LaAs,8.3746461
Sr(SnAs)2,127.03965
MnSbPd,1.179148333
Sb2Au,10.900308
Li3VO4,463.4169267
Nb(Te2I3)2,219.1036633
YbPbAu2,-7.626267200000001
Li2GaPd,-5.537611867000001
NdY3,17.109724
Ti(SeO3)2,394.2345467
NdP,-7.0946123
Bi(TeBr2)2,343.03704
PrPt,-1.970073
LaMnSbO,-4.419844733
Mg2NF,380.4152533
Dy2AgRu,-4.4054154
Rb2ZrO3,403.7313033
Sr5Bi3,28.69475843
RbSO2F,412.7514167
K4Na2FeH3F2,75.19523367
RhF3,408.7764133
Li2YbSi,54.78961500000001
PrS2,-0.8978870170000001
Sb7Mo3,6.813777767
H3Pt,3.062994333
Li2(CoO2)3,-2.01847625
Na2SO3,359.20621
TlAgSe,288.4853367
CoCu2SnSe4,23.85831567
Ba2BrN,373.8438867
Ni(RhO2)2,43.84217433
Li2InAg,-1.371716833
K2ZrF6,412.89567
Ca(MoO2)4,5.582812367000001
ScTiRu2,15.040173
TiC,-7.8264046
NaAlSe2,266.1658667
Ni(BMo)2,19.3582172
Ba3MgRu2O9,41.81894033
DySi2Ni,1.309475
Li4Mn3OF,286.99229330000014
SnPt3,7.5025777
BPO4,493.02796669999987
Zr2TcPd,-4.3197757
Na2MgAlF7,468.5499567
TbPb3,11.815898
OsSe2,24.924462
CaCrF5,412.8793667
CrPO4,407.6565833
Ba4Br6O,351.85139
DyMnSi,14.11012813
Ti2Sn,9.651839667
ZnCrO4,411.50145
Er2CuRu,-3.681097
Ti2N,9.353533
NaFeO3,6.265986667000001
Sr3CaIrO6,16.73526867
InFe2CuSe4,29.85821467
Ca4SmB3,350.0416667
Tm(Mg3Al)2,12.12600833
Li4P2O7,328.7864600000001
CuCClO,343.3668600000001
YbF3,4.117993667
SrAl9Co2,7.2033244000000005
BaSn3,-4.028562633
Al3Ga,-0.37635861
BaTm2F8,405.8975267
Ba(FeP)2,-0.43600935
Mg7Al2,2.425289733
ZnCoF4,466.99133
Al2Cu,-0.8158709
AsF3,271.3901233
HfZnCu2,7.5023301999999985
VCuO3,445.8471967
Nd5As2Cl,341.95939
Ce(NiSn)2,42.47835467
ScOs3,1.7056673999999998
Lu3Ga,8.046360667
LuTe2,9.229875413
NdAl3Br2,418.02349
Ti2Te2P,10.52906983
Mg(AlC)2,289.9070633
Na6S2ClO8F,529.11689
HoP,-6.637159167
Tb2S3,211.1792667
ScAlO3,310.0542
Dy2Al3Si2,8.2287912
Pr(Al2Fe)4,-9.5977749
SnC2(SN)2,342.2549433000001
Tm2AgRu,-3.3704611000000004
TlGaTe2,197.5281333
Tb2InPd2,6.379188
Na4CoO3,123.74568329999998
PrErZn2,6.89998
Ca(AlZn)2,8.7306838
MgScRh2,11.617022
LiNiPO4,279.3592733
Sc2RuPt,3.2959372000000005
Yb(SiPd)2,-2.49365961
LiAl2Os,-2.4430718
Ni3N,11.32824767
TaGeRh,15.691452599999998
Ba3P2,134.13053
Tl3SbS4,293.2285867
LiMnF6,25.188513
Co3(SnS)2,-5.5126467
Pr5AgSe8,311.8268333000001
Mn2Al2O7,388.08044
CeZnGa,45.997993
Ba(GaSe2)2,301.7904533
NaCeAu2,26.233167
TbSiPt,-0.297483033
Pr2Zr2O7,370.12318
Hg3Se4O5,272.01156000000003
Rb2MgF4,524.3016267
HoH2,-1.937379367
CuBS2,373.1930133
Tb7O2,40.16390033
Li2Mn(CO3)2,311.4919367
TaMoN,1.1346923
Ca(VS2)2,9.129749633
ClF,397.80359330000016
Yb(BiTe2)2,267.33614
TiZnPt2,10.240532
SeBr,364.1508767
LiBiS2,233.4490033
Rb2Cu2SnS4,388.5868167
ZnSb2(XeF4)6,406.55706
As2Pt,178.63971999999995
NaBeH3,195.1687
NaCrH8(NF3)2,446.3077433
Th3Mg,-6.8492798
SrN2,2.313484917
NiSbS,10.84392
Rb3Na(RuO4)2,347.5692267
In2ReB,-2.1145112
CoSb,-4.7657095
NaTeH6O6F,475.0642367
CuS,8.3039908
Ca(CoS2)2,466.8215933
Pr(FeSi)2,-6.8508628
HoPd3,2.0758235000000003
TiInFe2,17.754748
Li2CrCo3O8,25.95542533
Zn3TeAs2Pb3O4,460.3035367
Fe3Re,12.46954493
Ta2H,7.911442967
AlTc2,8.2286711
Li2B4O7,370.72972
Zn3Cd,-1.6217899
Y3Al3NiGe2,-6.720947333
Th3Be,-6.3298368
Sr5P3O2F,428.8417533
NdH2,-1.8495042
VBO4,466.51439000000005
YbPmZn2,7.7686194
Li7CuO4,497.8674367
TmCdPd2,-1.9698751
Cr2AsSe,-2.557506333
Nb3PbS6,36.90633733
SnSe,164.9687733
NO2,302.97967
PmMgZn2,-6.0665942
LiCuO,363.3201633
LuMg,-5.2119008
Ta3Sn,43.907009
IrC,2.413065
ErPb3,11.488277
YAs3,-6.179602
KTm,-8.787154267
